step_type,loss_base,loss_lora,loss_delta
tool_call,2.7266,1.1767,-1.5498
planning,2.4832,1.3743,-1.1089
planning,2.7916,1.5848,-1.2068
tool_call,2.9631,1.5653,-1.3979
planning,2.2729,1.4413,-0.8316
tool_call,2.1176,1.1536,-0.964
planning,2.1562,1.2831,-0.8731
planning,1.9004,1.0353,-0.8651
tool_call,2.6573,1.1868,-1.4704
tool_call,2.1566,1.0907,-1.0658
tool_call,2.6254,1.1593,-1.4661
planning,2.0061,1.3911,-0.6151
planning,2.6401,1.8647,-0.7755
planning,2.2614,1.3838,-0.8775
planning,2.5097,1.3024,-1.2073
tool_call,2.9492,1.3767,-1.5725
planning,2.266,1.1817,-1.0844
planning,2.2401,1.4104,-0.8297
tool_call,1.9594,0.9777,-0.9817
planning,2.2648,1.381,-0.8839
