step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
tool_call,4.47,3.56,-0.91,21.0,12.5
planning,4.57,3.95,-0.62,22.0,8.3
planning,5.1,4.88,-0.22,22.0,8.3
tool_call,5.47,4.78,-0.69,23.0,4.2
planning,4.4,4.23,-0.18,22.0,8.3
tool_call,3.94,3.17,-0.77,23.0,4.2
planning,5.0,3.61,-1.39,24.0,0.0
planning,3.89,2.82,-1.08,24.0,0.0
tool_call,4.1,3.28,-0.82,23.0,4.2
tool_call,4.15,2.98,-1.18,24.0,0.0
tool_call,4.02,3.19,-0.84,23.0,4.2
planning,4.79,4.02,-0.77,23.0,4.2
planning,5.14,6.45,1.32,21.0,12.5
planning,5.51,3.99,-1.52,24.0,0.0
planning,5.08,3.68,-1.4,24.0,0.0
tool_call,5.49,3.96,-1.53,24.0,0.0
planning,4.52,3.26,-1.26,24.0,0.0
planning,5.14,4.1,-1.04,23.0,4.2
tool_call,3.45,2.66,-0.79,22.0,8.3
planning,4.53,3.98,-0.56,23.0,4.2
tool_call,3.99,3.09,-0.89,23.0,4.2
tool_call,4.55,3.67,-0.88,23.0,4.2
tool_call,5.58,4.39,-1.19,23.0,4.2
planning,5.71,4.13,-1.58,24.0,0.0
tool_call,4.52,3.7,-0.82,23.0,4.2
tool_call,5.2,4.39,-0.81,23.0,4.2
planning,6.86,4.99,-1.87,24.0,0.0
tool_call,4.16,3.34,-0.82,23.0,4.2
tool_call,4.46,3.6,-0.86,23.0,4.2
tool_call,6.57,5.69,-0.88,23.0,4.2
tool_call,4.05,3.21,-0.83,23.0,4.2
planning,5.28,3.82,-1.46,24.0,0.0
tool_call,4.02,3.14,-0.88,23.0,4.2
planning,4.83,4.5,-0.32,22.0,8.3
tool_call,5.98,4.66,-1.32,23.0,4.2
planning,4.83,3.48,-1.35,24.0,0.0
tool_call,4.32,3.83,-0.49,22.0,8.3
planning,4.71,3.43,-1.29,24.0,0.0
planning,5.3,3.83,-1.47,24.0,0.0
planning,4.94,3.57,-1.37,24.0,0.0
planning,4.7,4.5,-0.19,22.0,8.3
planning,5.14,4.14,-1.0,23.0,4.2
planning,4.38,3.94,-0.43,22.0,8.3
tool_call,3.47,2.76,-0.71,22.0,8.3
tool_call,3.9,3.15,-0.75,23.0,4.2
tool_call,5.41,4.51,-0.89,23.0,4.2
planning,5.91,4.51,-1.4,23.0,4.2
tool_call,7.45,6.3,-1.15,23.0,4.2
tool_call,6.86,5.96,-0.9,23.0,4.2
planning,4.12,2.98,-1.14,24.0,0.0
tool_call,3.72,2.9,-0.81,23.0,4.2
planning,4.81,3.47,-1.34,24.0,0.0
tool_call,6.86,6.35,-0.51,23.0,4.2
tool_call,4.17,3.07,-1.1,23.0,4.2
planning,5.87,4.27,-1.6,24.0,0.0
planning,5.71,4.14,-1.57,24.0,0.0
planning,4.02,2.92,-1.11,24.0,0.0
tool_call,5.51,5.5,-0.01,22.0,8.3
tool_call,3.99,3.13,-0.86,23.0,4.2
planning,4.03,4.68,0.64,22.0,8.3
tool_call,8.5,6.97,-1.54,23.0,4.2
tool_call,4.86,4.03,-0.84,23.0,4.2
tool_call,3.48,2.69,-0.8,22.0,8.3
tool_call,4.33,3.57,-0.76,22.0,8.3
tool_call,4.96,4.22,-0.74,23.0,4.2
tool_call,7.11,6.65,-0.46,22.0,8.3
planning,3.96,3.27,-0.69,23.0,4.2
planning,4.46,4.48,0.01,21.0,12.5
tool_call,4.64,3.6,-1.05,23.0,4.2
tool_call,4.05,3.2,-0.85,22.0,8.3
planning,4.47,3.5,-0.97,23.0,4.2
planning,4.14,3.0,-1.15,24.0,0.0
planning,3.66,2.65,-1.02,24.0,0.0
tool_call,4.37,3.39,-0.98,23.0,4.2
planning,5.73,4.14,-1.59,24.0,0.0
tool_call,3.78,3.08,-0.7,22.0,8.3
tool_call,3.99,3.09,-0.9,23.0,4.2
planning,5.22,5.1,-0.12,22.0,8.3
tool_call,3.77,2.97,-0.81,22.0,8.3
planning,4.21,3.04,-1.17,24.0,0.0
tool_call,4.07,3.11,-0.97,23.0,4.2
tool_call,4.05,2.96,-1.09,23.0,4.2
planning,4.28,3.1,-1.18,24.0,0.0
planning,5.04,3.65,-1.38,24.0,0.0
planning,4.46,3.21,-1.24,24.0,0.0
tool_call,5.87,4.8,-1.07,23.0,4.2
planning,4.45,3.22,-1.23,24.0,0.0
planning,4.24,3.06,-1.18,24.0,0.0
tool_call,3.92,3.17,-0.75,22.0,8.3
planning,4.21,3.05,-1.16,24.0,0.0
tool_call,4.98,3.89,-1.09,23.0,4.2
planning,4.83,4.05,-0.77,23.0,4.2
planning,4.92,3.56,-1.36,24.0,0.0
planning,4.47,3.23,-1.25,24.0,0.0
tool_call,3.54,2.62,-0.92,23.0,4.2
tool_call,4.59,3.74,-0.85,23.0,4.2
planning,6.44,4.67,-1.77,24.0,0.0
planning,5.04,3.88,-1.15,23.0,4.2
tool_call,5.38,4.6,-0.78,23.0,4.2
planning,5.78,4.19,-1.58,24.0,0.0
