query_id,step_type,routed_ms,routed_tokens,baseline_ms,baseline_tokens,routed_ms_per_tok,baseline_ms_per_tok
0,tool_call,1966.0999790066853,43,1622.7286639623344,44,45.723255325736865,36.88019690823487
1,tool_call,8504.613826051354,256,2167.509909020737,64,33.2211477580131,33.86734232844901
2,tool_call,2283.3820859668776,70,2642.3612509388477,70,32.61974408524111,37.74801787055497
3,tool_call,7917.187417973764,256,5918.405105010606,175,30.926513351460017,33.81945774291775
4,planning,7921.591195976362,256,7086.170744034462,228,30.943715609282663,31.079696245765184
5,planning,7604.821559973061,256,4074.754645000212,131,29.70633421864477,31.104997290077954
6,tool_call,1906.5522250020877,65,6816.825938993134,202,29.33157269233981,33.74666306432244
7,planning,2462.265969021246,87,1437.814380042255,47,28.301907689899377,30.59179532004798
8,tool_call,1280.7846140349284,44,1477.8425890253857,44,29.108741228066553,33.58733156875876
9,tool_call,2466.174328001216,88,1383.153390022926,44,28.02470827274109,31.435304318702865
10,planning,1027.4858479388058,37,1451.450872933492,46,27.76988778212989,31.553279846380264
11,planning,3953.997534001246,119,3042.208374943584,98,33.22687003362392,31.042942601465146
12,planning,6081.065210048109,202,4858.259625034407,157,30.104283218059948,30.944328821875203
13,planning,2562.77711794246,90,2448.6654580105096,80,28.475301310471778,30.60831822513137
14,tool_call,2208.755386993289,81,1385.349506046623,44,27.268585024608505,31.485216046514157
15,planning,8354.406564962119,256,6411.739659961313,208,32.63440064438328,30.825671442121696
16,planning,5004.553816048428,184,2964.5951370475814,94,27.198662043741457,31.53824613880406
17,tool_call,8468.885188922286,256,3013.9662220608443,91,33.08158276922768,33.120507934734555
18,planning,3269.845084985718,118,4667.297190055251,151,27.710551567675576,30.909252914273186
19,tool_call,3991.4357640082017,135,1005.0780449528247,32,29.566190844505197,31.408688904775772
20,planning,6816.600704099983,256,2906.616538995877,95,26.62734650039056,30.595963568377652
21,tool_call,2383.902602014132,79,2125.4649080801755,64,30.17598230397635,33.21038918875274
22,tool_call,7118.125993991271,256,1355.7288839947432,44,27.8051796640284,30.81202009078962
23,planning,7428.814952960238,256,3525.5708949407563,115,29.01880841000093,30.65713821687614
24,tool_call,4173.990900977515,145,1362.7776980865747,44,28.786144144672516,30.972220411058515
25,tool_call,2134.721538051963,66,2198.711129021831,66,32.344265728060044,33.31380498517925
26,planning,3408.2451900467277,118,4510.867226053961,150,28.883433813955318,30.072448173693072
27,planning,3736.5406110184267,137,3345.794957014732,111,27.274019058528662,30.14229691004263
28,tool_call,7980.09218799416,256,4251.4801770448685,127,31.172235109352187,33.476221866495024
29,planning,2440.0168360443786,88,1776.142862974666,59,27.727464045958847,30.104116321604508
