step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
planning,3.99,4.18,0.2,21.0,12.5
tool_call,6.03,4.47,-1.56,24.0,0.0
planning,3.9,2.91,-0.99,24.0,0.0
planning,3.77,2.81,-0.96,24.0,0.0
planning,4.0,2.97,-1.03,24.0,0.0
planning,4.57,3.42,-1.15,24.0,0.0
tool_call,4.09,3.02,-1.06,24.0,0.0
planning,4.83,3.6,-1.22,24.0,0.0
planning,4.23,3.14,-1.08,24.0,0.0
planning,5.08,3.79,-1.29,24.0,0.0
tool_call,3.49,2.58,-0.91,24.0,0.0
planning,4.81,3.6,-1.21,24.0,0.0
tool_call,5.49,4.07,-1.42,24.0,0.0
tool_call,4.01,2.97,-1.04,24.0,0.0
tool_call,4.46,3.3,-1.16,24.0,0.0
tool_call,4.64,3.44,-1.2,24.0,0.0
tool_call,8.5,6.34,-2.17,24.0,0.0
tool_call,5.96,4.42,-1.54,24.0,0.0
tool_call,3.69,2.72,-0.96,24.0,0.0
tool_call,5.67,4.2,-1.47,24.0,0.0
tool_call,4.1,3.03,-1.06,24.0,0.0
planning,4.57,3.4,-1.17,24.0,0.0
planning,3.76,2.8,-0.96,24.0,0.0
tool_call,4.52,3.34,-1.17,24.0,0.0
planning,3.89,2.9,-0.99,24.0,0.0
planning,4.88,3.65,-1.24,24.0,0.0
planning,3.86,2.88,-0.98,24.0,0.0
tool_call,7.08,5.26,-1.82,24.0,0.0
tool_call,4.29,3.17,-1.12,24.0,0.0
tool_call,6.62,4.93,-1.69,24.0,0.0
tool_call,4.02,2.98,-1.05,24.0,0.0
planning,4.3,3.2,-1.1,24.0,0.0
planning,4.79,3.56,-1.23,24.0,0.0
planning,6.01,4.5,-1.51,24.0,0.0
tool_call,5.41,4.01,-1.4,24.0,0.0
tool_call,3.89,2.87,-1.02,24.0,0.0
tool_call,7.56,5.63,-1.93,24.0,0.0
planning,3.89,2.9,-0.99,24.0,0.0
planning,4.08,3.04,-1.04,24.0,0.0
planning,3.64,2.71,-0.92,24.0,0.0
tool_call,4.0,2.96,-1.04,24.0,0.0
tool_call,3.47,2.56,-0.91,24.0,0.0
tool_call,4.25,3.14,-1.11,24.0,0.0
tool_call,3.6,2.66,-0.94,24.0,0.0
planning,4.66,3.47,-1.19,24.0,0.0
planning,4.66,3.48,-1.18,24.0,0.0
planning,3.95,2.94,-1.01,24.0,0.0
planning,4.75,3.55,-1.21,24.0,0.0
planning,5.02,3.74,-1.27,24.0,0.0
tool_call,4.71,3.49,-1.23,24.0,0.0
planning,3.71,2.77,-0.93,24.0,0.0
planning,5.51,4.1,-1.41,24.0,0.0
planning,4.41,3.29,-1.13,24.0,0.0
tool_call,5.18,3.83,-1.35,24.0,0.0
tool_call,4.85,3.59,-1.26,24.0,0.0
tool_call,4.55,3.37,-1.18,24.0,0.0
tool_call,4.08,3.02,-1.06,24.0,0.0
planning,4.34,3.24,-1.1,24.0,0.0
planning,4.3,3.21,-1.1,24.0,0.0
planning,4.15,3.1,-1.05,24.0,0.0
planning,4.75,3.53,-1.22,24.0,0.0
tool_call,4.02,2.97,-1.05,24.0,0.0
tool_call,4.22,3.12,-1.1,24.0,0.0
planning,4.06,3.03,-1.04,24.0,0.0
tool_call,4.04,2.99,-1.05,24.0,0.0
tool_call,7.08,5.26,-1.82,24.0,0.0
tool_call,3.94,2.91,-1.03,24.0,0.0
tool_call,4.36,3.23,-1.13,24.0,0.0
planning,5.45,4.06,-1.39,24.0,0.0
tool_call,3.44,2.54,-0.9,24.0,0.0
planning,4.92,3.66,-1.26,24.0,0.0
planning,4.73,3.55,-1.19,24.0,0.0
tool_call,4.18,3.09,-1.09,24.0,0.0
planning,4.79,3.57,-1.22,24.0,0.0
tool_call,4.01,2.97,-1.04,24.0,0.0
planning,4.0,2.99,-1.01,24.0,0.0
planning,4.75,3.55,-1.2,24.0,0.0
planning,3.98,2.96,-1.02,24.0,0.0
planning,4.28,3.19,-1.09,24.0,0.0
tool_call,4.04,2.99,-1.05,24.0,0.0
planning,3.99,2.96,-1.02,24.0,0.0
tool_call,3.91,2.89,-1.02,24.0,0.0
planning,3.45,2.57,-0.88,24.0,0.0
planning,4.64,3.45,-1.19,24.0,0.0
planning,4.41,3.3,-1.12,24.0,0.0
tool_call,4.88,3.62,-1.26,24.0,0.0
tool_call,5.56,4.49,-1.07,23.0,4.2
planning,4.27,3.19,-1.08,24.0,0.0
tool_call,4.64,3.44,-1.21,24.0,0.0
tool_call,3.77,2.79,-0.99,24.0,0.0
planning,3.88,2.9,-0.98,24.0,0.0
planning,3.83,2.86,-0.97,24.0,0.0
tool_call,4.06,3.01,-1.06,24.0,0.0
tool_call,5.28,3.92,-1.36,24.0,0.0
tool_call,6.7,4.98,-1.72,24.0,0.0
planning,4.26,3.18,-1.08,24.0,0.0
planning,4.61,3.44,-1.17,24.0,0.0
tool_call,4.03,2.99,-1.05,24.0,0.0
tool_call,5.56,4.12,-1.44,24.0,0.0
tool_call,5.62,4.18,-1.44,24.0,0.0
