query_id,step_type,routed_ms,routed_tokens,baseline_ms,baseline_tokens,routed_ms_per_tok,baseline_ms_per_tok
0,planning,2381.4852150389925,52,1720.6774610094726,47,45.797792596903705,36.6101587448824
1,tool_call,6221.146539086476,185,2261.1245160223916,66,33.62781913019717,34.25946236397563
2,tool_call,1221.7456069774926,39,2644.7257680119947,78,31.326810435320322,33.906740615538396
3,planning,2451.2020039837807,76,2611.4037580555305,82,32.25265794715501,31.846387293360127
4,tool_call,1440.8833930501714,44,1422.8068580850959,44,32.74734984204935,32.336519501934
5,planning,2879.1035109898075,97,3252.8379670111462,99,29.681479494740284,32.85694916172875
6,tool_call,5136.111110914499,153,2054.3825270142406,63,33.56935366610784,32.6092464605435
7,tool_call,1390.5717160087079,44,1423.3627759385854,44,31.603902636561543,32.349153998604216
8,tool_call,8411.55963705387,256,2278.366836020723,64,32.85765483224168,35.5994818128238
9,tool_call,8168.669629027136,251,8681.703986949287,250,32.54450051405233,34.72681594779715
10,planning,6584.6153779421,256,3391.582734999247,104,25.72115382008633,32.611372451915834
11,planning,4634.810822084546,154,5027.158057084307,157,30.09617416938017,32.02011501327584
12,planning,1065.8234710572287,40,3870.7289869198576,123,26.64558677643072,31.46934135707201
13,planning,2562.629509018734,86,1868.5933919623494,59,29.798017546729465,31.67107444003982
14,planning,2675.040139001794,85,2694.732400937937,85,31.471060458844637,31.702734128681612
15,tool_call,3381.794345914386,102,2838.9128390699625,83,33.15484652857241,34.203769145421234
16,planning,3537.7949730027467,149,3902.926623937674,121,23.743590422837226,32.2555919333692
17,planning,4666.087223915383,155,3002.0177219994366,96,30.10378854138957,31.271017937494133
18,tool_call,8698.818863020279,256,2458.1371240783483,70,33.97976118367296,35.11624462969069
19,planning,6569.331558072008,208,4742.109032929875,148,31.583324798423117,32.04127724952618
20,planning,3158.830325002782,108,4878.62125702668,154,29.248428935210946,31.679358811861558
21,tool_call,3361.499545047991,97,1925.6044999929145,57,34.65463448503083,33.782535087594994
22,planning,3205.240037990734,102,5437.9877200117335,174,31.423921941085627,31.25280298857318
23,tool_call,6158.764629042707,182,6194.77281998843,182,33.839366093641246,34.03721329663972
24,planning,7316.90230302047,256,3209.2515650438145,104,28.58164962117371,30.858188125421293
25,tool_call,1338.92285998445,44,1385.471494984813,44,30.430064999646593,31.487988522382114
26,planning,3468.9851000439376,123,5963.435458950698,191,28.20313089466616,31.222175177752348
27,tool_call,1393.3291750727221,44,1425.185104017146,44,31.666572160743684,32.39057054584423
28,tool_call,8721.020180964842,256,2145.1932430500165,64,34.066485081893916,33.51864442265651
29,tool_call,1355.4325379664078,44,1366.3958560209721,44,30.805284953781996,31.054451273203913
