step_type,loss_base,loss_lora,loss_delta
planning,1.8313,1.0894,-0.7419
tool_call,3.0331,1.4976,-1.5355
planning,2.324,1.0692,-1.2547
planning,2.5894,1.0324,-1.5569
planning,2.5389,1.0893,-1.4496
planning,2.2548,1.2286,-1.0262
tool_call,2.7043,1.1069,-1.5974
planning,1.9099,1.2818,-0.628
planning,2.5094,1.1449,-1.3645
planning,2.1279,1.333,-0.7949
tool_call,1.976,0.9465,-1.0295
planning,2.3311,1.2797,-1.0514
tool_call,3.0493,1.4047,-1.6445
tool_call,2.1889,1.0871,-1.1018
tool_call,2.751,1.1945,-1.5565
tool_call,2.7979,1.2347,-1.5631
tool_call,3.3958,1.8464,-1.5494
tool_call,3.0333,1.4868,-1.5464
tool_call,2.071,1.0024,-1.0685
tool_call,3.0166,1.4339,-1.5826
