layer,gate_value,status
0,0.722169,active
1,0.727108,active
2,0.729087,active
3,0.727977,active
4,0.726849,active
5,0.728639,active
6,0.729652,active
7,0.728721,active
8,0.272685,skip_candidate
9,0.272952,skip_candidate
10,0.273124,skip_candidate
11,0.273188,skip_candidate
12,0.273091,skip_candidate
13,0.273247,skip_candidate
14,0.273127,skip_candidate
15,0.273156,skip_candidate
16,0.272865,skip_candidate
17,0.727618,active
18,0.727996,active
19,0.728383,active
20,0.729009,active
21,0.729545,active
22,0.72927,active
23,0.72978,active
