layer,gate_value,status
0,0.719614,active
1,0.725869,active
2,0.728818,active
3,0.727316,active
4,0.726811,active
5,0.728341,active
6,0.730005,active
7,0.728306,active
8,0.272655,skip_candidate
9,0.272952,skip_candidate
10,0.273086,skip_candidate
11,0.273226,skip_candidate
12,0.273044,skip_candidate
13,0.273187,skip_candidate
14,0.272993,skip_candidate
15,0.273084,skip_candidate
16,0.27283,skip_candidate
17,0.727493,active
18,0.72791,active
19,0.728206,active
20,0.72889,active
21,0.729309,active
22,0.72916,active
23,0.729431,active
