step_type,loss_base,loss_lora,loss_delta
planning,2.6624,1.369,-1.2934
tool_call,2.2314,1.2147,-1.0167
planning,1.9908,1.1648,-0.8259
tool_call,2.6989,1.3407,-1.3582
planning,2.2018,1.3952,-0.8066
planning,2.2952,1.1631,-1.1322
planning,1.841,1.2655,-0.5755
tool_call,2.0342,1.0664,-0.9678
tool_call,2.0344,1.1271,-0.9073
planning,2.3581,1.3277,-1.0304
tool_call,2.2003,1.0963,-1.104
planning,2.6631,1.5481,-1.115
tool_call,2.7776,1.2093,-1.5683
tool_call,1.9717,1.0415,-0.9301
planning,2.5307,1.3714,-1.1593
tool_call,2.8889,1.3769,-1.5121
tool_call,2.1844,1.19,-0.9944
tool_call,2.7464,1.3789,-1.3675
planning,1.8395,1.1311,-0.7084
tool_call,2.6292,1.2668,-1.3624
