query_id,step_type,routed_ms,routed_tokens,baseline_ms,baseline_tokens,routed_ms_per_tok,baseline_ms_per_tok
0,tool_call,10092.938514892012,256,7382.107368088327,214,39.42554107379692,34.495828822842654
1,tool_call,8484.36738003511,256,8474.113768083043,256,33.14206007826215,33.10200690657439
2,tool_call,8446.04143500328,256,2152.545297984034,66,32.992349355481565,32.61432269672778
3,planning,7225.058636046015,256,5142.134653986432,163,28.222885297054745,31.546838368014917
4,planning,2467.221913044341,79,2536.459816969,79,31.230657127143555,32.107086290746835
5,tool_call,8322.095595067367,256,8613.849606947042,256,32.5081859182319,33.64785002713688
6,planning,6625.763805001043,218,4264.102390035987,140,30.393411949546067,30.457874214542763
7,planning,2603.412108961493,88,5413.268496980891,176,29.584228510926053,30.757207369209606
8,planning,5253.537170006894,175,3385.6502920389175,104,30.02021240003939,32.55432973114344
9,planning,2451.0148109402508,82,3204.5715720159933,106,29.890424523661594,30.231807283169747
10,tool_call,8304.267309023999,256,4419.45033299271,130,32.438544175874995,33.99577179225162
11,planning,7216.852854005992,234,7194.70787292812,234,30.84125151284612,30.746614841573162
12,tool_call,2343.298835097812,70,2334.7399031044915,70,33.47569764425446,33.353427187207025
13,planning,5994.2933490965515,225,3615.0024429662153,117,26.641303773762452,30.89745677748902
14,tool_call,8140.892063966021,256,2136.425670934841,64,31.80035962486727,33.38165110835689
15,planning,1432.400404009968,49,1561.539513990283,51,29.232661306325877,30.618421842946727
16,planning,5352.482247981243,176,4741.905178991146,155,30.41183095443888,30.592936638652557
17,planning,2834.265845012851,93,2836.995022953488,93,30.475976828095174,30.505322827456858
18,tool_call,8345.41715902742,256,2740.75640598312,81,32.59928577745086,33.83649883929778
19,tool_call,8336.44302689936,256,1988.3753509493545,60,32.564230573825625,33.13958918248924
20,tool_call,1418.4346140827984,44,3115.792446071282,92,32.2371503200636,33.86730919642698
21,tool_call,5270.440447959118,168,3591.5653810370713,114,31.371669333089987,31.504959482781327
22,tool_call,1240.6518290517852,40,1906.546771991998,60,31.01629572629463,31.775779533199966
23,planning,1477.0410630153492,49,1445.8136709872633,47,30.143695163578556,30.761992999729006
24,planning,4256.0146999312565,138,4811.085300985724,153,30.840686231385916,31.445001967226954
25,tool_call,3288.1610749755055,107,5957.388544920832,189,30.73047733621968,31.520574311750433
26,tool_call,8299.243474029936,256,5956.244018976577,175,32.41891982042944,34.03568010843758
27,tool_call,8222.871778998524,256,2480.4298609960824,66,32.120592886712984,37.582270621152766
28,planning,3049.3103619664907,93,2832.9967309255153,93,32.788283462005275,30.462330440059304
29,planning,3046.0003919433802,101,3905.896626994945,128,30.158419722211686,30.51481739839801
