step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,3.888174,48.82,14.96,37.67,,0.00019999,9.49
100,3.52424,33.93,15.24,36.51,,0.00019997,17.59
150,2.786485,16.22,18.96,21.0,,0.00019993,25.7
200,2.538652,12.66,19.24,19.84,,0.00019986,33.84
250,2.383843,10.85,18.02,24.92,,0.00019979,44.41
300,2.210391,9.12,20.24,15.67,,0.00019969,52.51
350,2.002024,7.4,21.62,9.92,,0.00019959,60.66
400,1.933473,6.91,21.16,11.84,,0.00019945,68.86
450,1.923454,6.84,22.22,7.42,,0.00019932,79.29
500,1.828946,6.23,21.06,12.25,,0.00019915,87.47
550,1.844066,6.32,21.02,12.41,,0.00019898,95.64
600,1.68795,5.41,22.62,5.76,,0.00019877,104.04
650,1.654602,5.23,21.34,11.08,,0.00019857,114.46
700,1.766004,5.85,21.44,10.67,,0.00019833,122.6
750,1.636052,5.13,22.36,6.84,,0.0001981,130.75
800,1.6992,5.47,21.1,12.08,,0.00019783,138.9
850,1.767785,5.86,21.6,10.0,,0.00019756,149.2
900,1.67299,5.33,21.38,10.92,,0.00019725,157.31
950,1.664199,5.28,21.46,10.6,,0.00019695,165.35
1000,1.643823,5.17,21.58,10.08,,0.00019661,173.54
1050,1.6874,5.41,21.02,12.42,,0.00019628,184.18
1100,1.65623,5.24,21.4,10.84,,0.0001959,192.3
1150,1.653816,5.23,21.46,10.58,,0.00019554,200.42
1200,1.744394,5.72,20.56,14.33,,0.00019513,208.57
1250,1.664852,5.28,21.94,8.59,,0.00019474,219.15
1300,1.707665,5.52,20.18,15.92,,0.00019429,227.47
1350,1.658305,5.25,21.2,11.67,,0.00019387,235.65
1400,1.85576,6.4,20.64,14.0,,0.00019339,243.85
1450,1.598436,4.95,21.14,11.92,,0.00019294,254.18
1500,1.745867,5.73,20.76,13.5,,0.00019243,262.41
1550,1.615015,5.03,20.72,13.67,,0.00019194,270.56
1600,1.689122,5.41,20.68,13.83,,0.0001914,278.87
1650,1.621108,5.06,20.9,12.92,,0.00019088,289.2
1700,1.647356,5.19,20.54,14.42,,0.00019031,297.43
1750,1.685134,5.39,21.5,10.42,,0.00018976,305.67
1800,1.578999,4.85,20.24,15.66,,0.00018916,313.9
1850,1.578574,4.85,20.68,13.84,,0.00018858,324.16
1900,1.608851,5.0,20.98,12.58,,0.00018794,332.42
1950,1.645727,5.18,20.56,14.33,,0.00018734,340.52
2000,1.64555,5.18,20.98,12.58,,0.00018667,348.7
2050,1.68846,5.41,20.06,16.42,,0.00018604,359.03
2100,1.637169,5.14,21.36,11.0,,0.00018534,367.22
2150,1.624358,5.08,20.4,14.99,,0.00018468,375.57
2200,1.562169,4.77,21.08,12.16,,0.00018395,383.75
2250,1.737084,5.68,19.98,16.75,,0.00018326,393.93
2300,1.734571,5.67,20.62,14.08,,0.0001825,401.82
2350,1.728627,5.63,20.72,13.68,,0.00018179,409.7
2400,1.704543,5.5,20.46,14.75,,0.000181,417.76
2450,1.706175,5.51,20.88,13.0,,0.00018026,428.09
2500,1.641607,5.16,20.26,15.58,,0.00017944,436.22
2550,1.683915,5.39,20.36,15.16,,0.00017867,444.39
2600,1.634615,5.13,20.66,13.92,,0.00017783,452.52
2650,1.683398,5.38,20.1,16.26,,0.00017703,463.03
2700,1.634705,5.13,19.92,17.01,,0.00017616,471.4
2750,1.618619,5.05,21.08,12.17,,0.00017534,479.51
2800,1.62018,5.05,20.06,16.41,,0.00017444,487.79
2850,1.652646,5.22,20.3,15.42,,0.0001736,498.09
2900,1.658661,5.25,20.26,15.58,,0.00017267,506.29
2950,1.610949,5.01,20.38,15.09,,0.00017181,514.41
3000,1.653502,5.23,20.12,16.17,,0.00017086,522.59
