step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,3.908081,49.8,14.98,37.58,,0.00019999,9.44
100,3.49186,32.85,15.62,34.92,,0.00019997,17.58
150,2.693167,14.78,19.62,18.26,,0.00019993,25.69
200,2.420415,11.25,19.9,17.09,,0.00019986,33.85
250,2.311818,10.09,18.24,24.0,,0.00019979,44.25
300,2.228524,9.29,20.08,16.33,,0.00019969,52.38
350,2.056826,7.82,21.16,11.84,,0.00019959,60.5
400,1.976244,7.22,21.54,10.25,,0.00019945,68.68
450,1.844329,6.32,22.22,7.43,,0.00019932,79.23
500,1.872136,6.5,21.46,10.6,,0.00019915,87.39
550,1.74887,5.75,21.54,10.24,,0.00019898,95.46
600,1.648116,5.2,22.38,6.75,,0.00019877,103.81
650,1.744864,5.73,21.04,12.33,,0.00019857,114.3
700,1.713312,5.55,21.76,9.33,,0.00019833,122.54
750,1.785102,5.96,21.28,11.34,,0.0001981,130.7
800,1.733961,5.66,21.2,11.67,,0.00019783,138.86
850,1.672104,5.32,21.64,9.84,,0.00019756,149.33
900,1.66592,5.29,21.48,10.5,,0.00019725,157.34
950,1.660205,5.26,21.72,9.51,,0.00019695,165.25
1000,1.644809,5.18,21.7,9.58,,0.00019661,173.27
1050,1.717058,5.57,20.92,12.83,,0.00019628,183.84
1100,1.784821,5.96,20.34,15.25,,0.0001959,192.13
1150,1.725336,5.61,21.86,8.92,,0.00019554,200.39
1200,1.608269,4.99,21.26,11.42,,0.00019513,208.54
1250,1.674433,5.34,20.32,15.33,,0.00019474,218.77
1300,1.550235,4.71,21.58,10.09,,0.00019429,226.86
1350,1.721627,5.59,21.02,12.41,,0.00019387,234.98
1400,1.688048,5.41,20.42,14.91,,0.00019339,243.1
1450,1.554553,4.73,21.48,10.5,,0.00019294,253.5
1500,1.658978,5.25,20.84,13.17,,0.00019243,261.77
1550,1.659056,5.25,20.82,13.26,,0.00019194,269.98
1600,1.638737,5.15,20.44,14.83,,0.0001914,278.05
1650,1.689686,5.42,20.92,12.84,,0.00019088,288.14
1700,1.503557,4.5,20.72,13.67,,0.00019031,296.34
1750,1.597914,4.94,21.06,12.25,,0.00018976,304.51
1800,1.812336,6.12,19.24,19.84,,0.00018916,312.7
1850,1.549541,4.71,22.24,7.33,,0.00018858,323.02
1900,1.600883,4.96,20.68,13.84,,0.00018794,331.23
1950,1.654,5.23,19.78,17.58,,0.00018734,339.32
2000,1.60746,4.99,21.5,10.42,,0.00018667,347.58
2050,1.654266,5.23,20.44,14.84,,0.00018604,357.86
2100,1.667211,5.3,19.98,16.76,,0.00018534,366.02
2150,1.587776,4.89,21.5,10.42,,0.00018468,374.52
2200,1.600814,4.96,20.64,14.0,,0.00018395,382.74
2250,1.705895,5.51,20.08,16.33,,0.00018326,393.08
2300,1.530576,4.62,21.76,9.33,,0.0001825,401.2
2350,1.858694,6.42,18.76,21.83,,0.00018179,409.47
2400,1.794407,6.02,20.84,13.16,,0.000181,417.82
2450,1.688109,5.41,20.96,12.67,,0.00018026,428.22
2500,1.989813,7.31,17.88,25.5,,0.00017944,436.6
2550,1.670289,5.31,20.36,15.17,,0.00017867,444.86
2600,1.717366,5.57,19.88,17.16,,0.00017783,453.04
2650,1.678014,5.35,20.86,13.08,,0.00017703,463.48
2700,1.719409,5.58,20.0,16.66,,0.00017616,471.8
2750,1.582954,4.87,21.08,12.17,,0.00017534,479.78
2800,1.743098,5.72,19.4,19.16,,0.00017444,487.82
2850,1.583144,4.87,19.82,17.42,,0.0001736,498.18
2900,1.668946,5.31,20.36,15.17,,0.00017267,506.39
2950,1.634967,5.13,19.54,18.58,,0.00017181,514.61
3000,1.619103,5.05,20.2,15.84,,0.00017086,522.82
