query_id,step_type,routed_ms,routed_tokens,baseline_ms,baseline_tokens,routed_ms_per_tok,baseline_ms_per_tok
0,planning,3211.4209049614146,76,1746.7354200780392,50,42.25553822317651,34.93470840156078
1,tool_call,8632.369640981779,256,8756.761159049347,250,33.72019391008507,35.02704463619739
2,tool_call,6981.211699894629,209,8883.927920949645,256,33.402926793754204,34.70284344120955
3,planning,2856.3262219540775,98,3099.4069420266896,98,29.146185938306914,31.626601449251936
4,planning,7610.592516022734,256,3325.4300040425733,102,29.728877015713806,32.602254941593856
5,tool_call,8410.147676011547,256,1452.0467629190534,44,32.85213935942011,33.00106279361485
6,tool_call,4146.095855976455,131,6847.141943057068,196,31.64958668684317,34.934397668658505
7,tool_call,1399.9178369995207,44,1439.1555050387979,44,31.816314477261834,32.708079659972675
8,tool_call,1427.6156380074099,44,1472.8306690230966,44,32.44580995471386,33.47342429597947
9,planning,2981.0078360605985,90,2546.2181490147486,77,33.1223092895622,33.067768169022706
10,tool_call,2165.983896004036,66,2240.3201040579006,66,32.81793781824297,33.94424400087728
11,planning,8475.938951014541,256,8505.633515072986,256,33.10913652740055,33.22513091825385
12,planning,3185.939304996282,107,5031.644196016714,162,29.775133691554036,31.05953207417725
13,planning,3076.5198400476947,103,2457.5748100178316,79,29.86912466065723,31.108541898959896
14,planning,3749.3027300806716,125,1512.2490540379658,49,29.994421840645373,30.862225592611548
15,planning,2810.72916300036,94,3666.825645021163,117,29.901374074471917,31.34039012838601
16,tool_call,8046.0179400397465,256,1400.103725027293,44,31.42975757828026,31.820539205165748
17,tool_call,6856.590109062381,221,1403.5485789645463,44,31.025294611141994,31.898831340103325
18,planning,3688.853590982035,120,3984.6475889207795,127,30.740446591516957,31.375177865517948
19,tool_call,1393.412044038996,44,1391.037983004935,44,31.66845554634082,31.614499613748524
20,planning,3778.4553460078314,122,4800.861145951785,152,30.970945459080585,31.584612802314375
21,planning,3100.349043030292,104,3187.366698984988,102,29.811048490675883,31.248693127303806
22,tool_call,995.86544604972,32,1421.8017930397764,44,31.12079518905375,32.313677114540376
23,planning,7772.506727953441,256,3823.5033659730107,122,30.36135440606813,31.34019152436894
24,tool_call,8089.86326190643,247,1423.2609579339623,44,32.75248284172644,32.3468399530446
25,tool_call,5919.230752973817,181,8094.293014961295,232,32.70293233687192,34.889194030005584
26,planning,7587.681386969052,256,3286.2911958945915,104,29.63938041784786,31.598953806678765
27,tool_call,8405.922124977224,256,8906.995109049603,256,32.83563330069228,34.79294964472501
28,tool_call,1440.4436310287565,44,1448.4039780218154,44,32.73735525065356,32.91827222776853
29,planning,6447.835773928091,209,4764.728035079315,150,30.850888870469333,31.764853567195434
