layer,gate_value,status
0,0.714011,active
1,0.722448,active
2,0.727193,active
3,0.724643,active
4,0.725497,active
5,0.726561,active
6,0.72764,active
7,0.727549,active
8,0.273259,skip_candidate
9,0.273345,skip_candidate
10,0.273512,skip_candidate
11,0.273687,skip_candidate
12,0.273564,skip_candidate
13,0.273586,skip_candidate
14,0.273485,skip_candidate
15,0.273487,skip_candidate
16,0.273246,skip_candidate
17,0.726812,active
18,0.72733,active
19,0.727814,active
20,0.72838,active
21,0.728609,active
22,0.728783,active
23,0.729132,active
