step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
tool_call,3.74,2.77,-0.96,21.0,12.5
tool_call,4.27,3.21,-1.06,23.0,4.2
planning,4.85,3.51,-1.34,24.0,0.0
tool_call,3.95,2.84,-1.11,24.0,0.0
planning,4.79,3.72,-1.07,23.0,4.2
planning,4.29,3.41,-0.88,23.0,4.2
tool_call,5.43,3.91,-1.51,24.0,0.0
planning,4.24,3.09,-1.15,24.0,0.0
tool_call,7.08,5.11,-1.97,24.0,0.0
planning,4.24,3.08,-1.16,24.0,0.0
planning,4.9,4.24,-0.66,23.0,4.2
tool_call,4.57,3.29,-1.28,24.0,0.0
planning,4.9,3.55,-1.35,24.0,0.0
planning,4.64,3.73,-0.91,23.0,4.2
planning,5.89,4.29,-1.6,24.0,0.0
tool_call,5.82,4.2,-1.62,24.0,0.0
tool_call,3.98,2.86,-1.12,24.0,0.0
planning,4.48,3.63,-0.85,23.0,4.2
planning,5.3,3.86,-1.44,24.0,0.0
tool_call,3.96,2.85,-1.12,24.0,0.0
tool_call,3.97,2.86,-1.11,24.0,0.0
tool_call,4.86,4.58,-0.29,23.0,4.2
tool_call,3.45,2.84,-0.61,23.0,4.2
planning,3.99,3.35,-0.63,23.0,4.2
planning,5.04,3.66,-1.38,24.0,0.0
tool_call,4.02,2.89,-1.13,24.0,0.0
planning,5.26,4.17,-1.09,23.0,4.2
tool_call,3.8,2.85,-0.95,23.0,4.2
planning,4.3,3.12,-1.18,24.0,0.0
tool_call,5.0,3.6,-1.4,24.0,0.0
tool_call,4.06,2.92,-1.14,24.0,0.0
tool_call,7.36,5.32,-2.04,24.0,0.0
planning,5.62,4.08,-1.54,24.0,0.0
planning,4.66,3.39,-1.27,24.0,0.0
planning,6.6,4.81,-1.79,24.0,0.0
tool_call,4.61,4.87,0.27,23.0,4.2
planning,4.61,3.35,-1.25,24.0,0.0
planning,5.0,3.64,-1.36,24.0,0.0
planning,5.53,4.02,-1.51,24.0,0.0
tool_call,4.02,2.89,-1.13,24.0,0.0
tool_call,4.15,2.99,-1.17,24.0,0.0
tool_call,5.32,3.84,-1.48,24.0,0.0
tool_call,4.06,2.92,-1.14,24.0,0.0
tool_call,4.1,2.95,-1.16,24.0,0.0
tool_call,4.35,4.42,0.06,23.0,4.2
planning,5.56,4.02,-1.54,24.0,0.0
planning,4.61,3.36,-1.24,24.0,0.0
planning,6.13,5.25,-0.88,23.0,4.2
tool_call,4.06,2.92,-1.15,24.0,0.0
tool_call,5.47,3.95,-1.52,24.0,0.0
planning,5.28,4.59,-0.69,23.0,4.2
tool_call,4.31,4.36,0.05,23.0,4.2
tool_call,6.86,4.96,-1.9,24.0,0.0
planning,4.81,4.05,-0.76,23.0,4.2
tool_call,3.82,3.33,-0.49,23.0,4.2
tool_call,4.7,3.38,-1.32,24.0,0.0
planning,5.28,3.84,-1.44,24.0,0.0
planning,4.2,3.06,-1.14,24.0,0.0
tool_call,8.44,6.11,-2.33,24.0,0.0
planning,4.47,3.24,-1.23,24.0,0.0
tool_call,3.46,2.49,-0.98,24.0,0.0
tool_call,3.42,2.97,-0.44,23.0,4.2
tool_call,5.47,3.96,-1.51,24.0,0.0
planning,5.14,4.2,-0.93,23.0,4.2
planning,6.89,5.03,-1.86,24.0,0.0
tool_call,4.48,3.22,-1.26,24.0,0.0
planning,5.28,3.84,-1.44,24.0,0.0
tool_call,4.5,3.23,-1.27,24.0,0.0
planning,4.85,4.01,-0.84,23.0,4.2
tool_call,5.6,4.37,-1.23,23.0,4.2
tool_call,4.05,2.91,-1.14,24.0,0.0
planning,4.0,2.91,-1.09,24.0,0.0
planning,5.62,4.1,-1.52,24.0,0.0
planning,5.12,3.98,-1.13,23.0,4.2
planning,4.5,3.4,-1.1,23.0,4.2
planning,3.92,2.85,-1.07,24.0,0.0
tool_call,3.56,2.69,-0.87,23.0,4.2
planning,4.01,2.92,-1.09,24.0,0.0
planning,4.68,4.13,-0.55,23.0,4.2
planning,6.05,4.61,-1.45,23.0,4.2
planning,4.66,3.76,-0.9,23.0,4.2
tool_call,5.73,4.13,-1.6,24.0,0.0
tool_call,4.02,2.89,-1.13,24.0,0.0
planning,6.05,4.41,-1.64,24.0,0.0
planning,4.43,3.5,-0.93,23.0,4.2
tool_call,5.12,3.69,-1.43,24.0,0.0
planning,4.3,3.61,-0.69,23.0,4.2
planning,5.78,4.2,-1.57,24.0,0.0
tool_call,3.99,2.87,-1.12,24.0,0.0
planning,4.25,3.09,-1.16,24.0,0.0
planning,4.52,3.52,-1.0,23.0,4.2
tool_call,6.67,4.83,-1.85,24.0,0.0
tool_call,4.83,3.48,-1.34,24.0,0.0
tool_call,5.56,4.0,-1.56,24.0,0.0
tool_call,3.95,2.84,-1.11,24.0,0.0
tool_call,6.6,4.77,-1.82,24.0,0.0
planning,5.34,3.87,-1.47,24.0,0.0
tool_call,4.47,3.21,-1.26,24.0,0.0
tool_call,3.66,3.34,-0.33,23.0,4.2
planning,4.38,3.58,-0.8,23.0,4.2
