step_type,loss_base,loss_lora,loss_delta
tool_call,2.0199,1.0182,-1.0016
tool_call,2.2072,1.1664,-1.0408
planning,2.1665,1.2554,-0.9112
tool_call,2.1703,1.0451,-1.1252
planning,1.8412,1.3138,-0.5274
planning,2.57,1.228,-1.342
tool_call,3.0301,1.3644,-1.6657
planning,2.1337,1.1276,-1.006
tool_call,3.1548,1.6316,-1.5232
planning,2.2812,1.1264,-1.1549
planning,2.1617,1.4448,-0.7169
tool_call,2.2175,1.1914,-1.0261
planning,1.9044,1.268,-0.6364
planning,2.272,1.316,-0.956
planning,2.2683,1.4565,-0.8118
tool_call,3.014,1.4345,-1.5795
tool_call,2.6315,1.0518,-1.5797
planning,1.9356,1.2884,-0.6472
planning,2.5156,1.3508,-1.1648
tool_call,2.1539,1.0462,-1.1078
