step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,4.007999,55.04,14.94,37.75,,0.00019999,9.48
100,3.510167,33.45,15.32,36.17,,0.00019997,17.62
150,2.833996,17.01,18.4,23.34,,0.00019993,25.74
200,2.375705,10.76,19.6,18.34,,0.00019986,33.9
250,2.235826,9.35,20.1,16.25,,0.00019979,44.23
300,2.196568,8.99,19.58,18.42,,0.00019969,52.41
350,2.105571,8.21,20.78,13.41,,0.00019959,60.54
400,1.985454,7.28,21.12,12.0,,0.00019945,68.73
450,1.856881,6.4,21.98,8.42,,0.00019932,79.22
500,1.805286,6.08,21.96,8.5,,0.00019915,87.46
550,1.881842,6.57,20.9,12.91,,0.00019898,95.66
600,1.742161,5.71,22.7,5.42,,0.00019877,104.07
650,1.822561,6.19,20.98,12.58,,0.00019857,114.5
700,1.784445,5.96,21.36,11.0,,0.00019833,122.5
750,1.687147,5.4,21.98,8.42,,0.0001981,130.71
800,1.74131,5.7,21.24,11.5,,0.00019783,138.75
850,1.698226,5.46,21.54,10.25,,0.00019756,149.26
900,1.67203,5.32,22.0,8.34,,0.00019725,157.52
950,1.728875,5.63,20.68,13.84,,0.00019695,165.76
1000,1.664697,5.28,21.38,10.92,,0.00019661,173.89
1050,1.807846,6.1,20.76,13.5,,0.00019628,184.24
1100,1.623877,5.07,21.58,10.09,,0.0001959,192.37
1150,1.698315,5.46,21.12,12.0,,0.00019554,200.45
1200,1.674122,5.33,20.6,14.16,,0.00019513,208.57
1250,1.537654,4.65,21.52,10.34,,0.00019474,218.88
1300,1.720026,5.58,21.3,11.25,,0.00019429,226.97
1350,1.675782,5.34,21.04,12.33,,0.00019387,235.07
1400,1.626957,5.09,21.48,10.51,,0.00019339,243.21
1450,1.679622,5.36,20.8,13.34,,0.00019294,253.56
1500,1.554806,4.73,21.44,10.67,,0.00019243,261.85
1550,1.651466,5.21,20.46,14.75,,0.00019194,270.06
1600,1.587889,4.89,21.52,10.34,,0.0001914,278.3
1650,1.699882,5.47,19.54,18.58,,0.00019088,288.77
1700,1.581495,4.86,21.54,10.25,,0.00019031,296.96
1750,1.747645,5.74,19.4,19.17,,0.00018976,305.29
1800,1.521406,4.58,21.84,9.01,,0.00018916,313.6
1850,1.7163,5.56,20.56,14.33,,0.00018858,324.29
1900,1.62493,5.08,20.6,14.17,,0.00018794,332.59
1950,1.57441,4.83,21.1,12.08,,0.00018734,340.97
2000,1.871715,6.5,18.76,21.83,,0.00018667,349.28
2050,1.538684,4.66,21.94,8.58,,0.00018604,359.67
2100,1.898894,6.68,18.62,22.42,,0.00018534,367.95
2150,1.571354,4.81,21.42,10.75,,0.00018468,376.46
2200,1.620184,5.05,20.78,13.41,,0.00018395,384.81
2250,1.605144,4.98,19.92,17.0,,0.00018326,395.17
2300,1.703323,5.49,20.34,15.25,,0.0001825,403.59
2350,1.610144,5.0,21.74,9.41,,0.00018179,411.81
2400,1.715573,5.56,19.24,19.84,,0.000181,419.95
2450,1.626719,5.09,21.14,11.91,,0.00018026,430.63
2500,1.632866,5.12,20.64,14.0,,0.00017944,439.0
2550,1.576809,4.84,20.92,12.83,,0.00017867,447.21
2600,1.646396,5.19,19.9,17.08,,0.00017783,455.39
2650,1.606157,4.98,20.5,14.58,,0.00017703,465.95
2700,1.662754,5.27,20.96,12.67,,0.00017616,474.47
2750,1.635219,5.13,19.82,17.41,,0.00017534,482.79
2800,1.548071,4.7,20.98,12.58,,0.00017444,491.0
2850,1.669254,5.31,20.56,14.34,,0.0001736,501.54
2900,1.662704,5.27,19.86,17.25,,0.00017267,509.83
2950,1.683074,5.38,19.78,17.59,,0.00017181,518.02
3000,1.630262,5.11,20.36,15.17,,0.00017086,526.3
