step_type,loss_base,loss_lora,loss_delta
planning,2.265,1.4481,-0.8169
planning,2.5201,1.5458,-0.9744
tool_call,2.1337,1.0711,-1.0626
tool_call,2.705,1.0744,-1.6306
tool_call,2.4105,1.263,-1.1474
tool_call,2.9724,1.3852,-1.5872
planning,2.214,1.384,-0.8301
planning,1.8104,1.0472,-0.7632
tool_call,2.6896,1.195,-1.4946
tool_call,2.0942,1.039,-1.0551
planning,2.2845,1.3763,-0.9082
tool_call,3.2394,1.6173,-1.6222
tool_call,1.9673,0.9056,-1.0617
planning,2.6515,1.5627,-1.0888
planning,2.0605,1.3376,-0.7229
planning,2.0125,1.3684,-0.644
tool_call,2.9097,1.3371,-1.5726
planning,2.169,1.5256,-0.6434
planning,2.0918,1.3698,-0.722
tool_call,2.2103,1.1426,-1.0677
