layer,gate_value,status
0,0.716578,active
1,0.724937,active
2,0.728128,active
3,0.7258,active
4,0.725605,active
5,0.727175,active
6,0.7281,active
7,0.727713,active
8,0.273231,skip_candidate
9,0.273263,skip_candidate
10,0.273373,skip_candidate
11,0.273579,skip_candidate
12,0.273596,skip_candidate
13,0.273445,skip_candidate
14,0.27334,skip_candidate
15,0.273368,skip_candidate
16,0.273066,skip_candidate
17,0.727239,active
18,0.727653,active
19,0.728189,active
20,0.728799,active
21,0.729037,active
22,0.728923,active
23,0.729419,active
