step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
planning,5.78,8.84,3.07,20.0,16.7
planning,5.32,4.69,-0.63,23.0,4.2
tool_call,4.03,2.92,-1.11,24.0,0.0
tool_call,4.04,2.93,-1.11,24.0,0.0
tool_call,4.86,3.54,-1.33,24.0,0.0
tool_call,5.49,4.0,-1.5,24.0,0.0
planning,5.2,3.99,-1.21,23.0,4.2
planning,3.89,2.85,-1.04,24.0,0.0
tool_call,4.55,3.3,-1.25,24.0,0.0
tool_call,3.91,2.83,-1.08,24.0,0.0
planning,4.39,3.96,-0.43,23.0,4.2
tool_call,6.91,5.04,-1.87,24.0,0.0
tool_call,3.43,2.47,-0.95,24.0,0.0
planning,5.58,4.77,-0.81,23.0,4.2
planning,4.55,3.81,-0.74,23.0,4.2
planning,5.36,3.93,-1.43,24.0,0.0
tool_call,5.24,3.81,-1.43,24.0,0.0
planning,5.28,4.6,-0.68,23.0,4.2
planning,4.45,3.93,-0.51,23.0,4.2
tool_call,4.34,3.13,-1.21,24.0,0.0
tool_call,3.84,2.78,-1.06,24.0,0.0
planning,5.38,4.69,-0.69,23.0,4.2
tool_call,4.07,2.95,-1.13,24.0,0.0
tool_call,4.36,3.15,-1.21,24.0,0.0
tool_call,6.81,4.97,-1.84,24.0,0.0
planning,4.85,4.19,-0.66,23.0,4.2
planning,5.87,5.35,-0.52,23.0,4.2
tool_call,4.52,3.27,-1.24,24.0,0.0
planning,4.21,3.09,-1.12,24.0,0.0
planning,4.08,3.27,-0.81,23.0,4.2
planning,5.8,4.99,-0.81,23.0,4.2
planning,6.17,5.1,-1.07,23.0,4.2
tool_call,3.93,2.85,-1.09,24.0,0.0
planning,4.62,3.4,-1.23,24.0,0.0
planning,4.59,3.78,-0.81,23.0,4.2
planning,4.66,4.18,-0.48,23.0,4.2
tool_call,4.85,3.51,-1.33,24.0,0.0
tool_call,3.95,2.86,-1.09,24.0,0.0
planning,6.01,4.42,-1.59,24.0,0.0
tool_call,3.44,2.49,-0.95,24.0,0.0
tool_call,5.87,4.27,-1.6,24.0,0.0
planning,5.32,3.89,-1.43,24.0,0.0
planning,4.85,3.57,-1.28,24.0,0.0
tool_call,4.46,3.23,-1.23,24.0,0.0
planning,5.36,3.94,-1.42,24.0,0.0
planning,4.3,3.57,-0.73,23.0,4.2
tool_call,3.95,2.86,-1.09,24.0,0.0
planning,6.78,4.97,-1.81,24.0,0.0
tool_call,4.14,2.99,-1.14,24.0,0.0
tool_call,5.53,4.02,-1.52,24.0,0.0
planning,4.1,3.01,-1.09,24.0,0.0
planning,5.06,3.71,-1.35,24.0,0.0
tool_call,5.47,3.98,-1.49,24.0,0.0
planning,4.92,4.15,-0.77,23.0,4.2
tool_call,4.01,2.91,-1.1,24.0,0.0
planning,4.68,3.81,-0.86,23.0,4.2
tool_call,4.16,3.02,-1.14,24.0,0.0
planning,4.26,4.13,-0.13,23.0,4.2
tool_call,4.02,2.92,-1.11,24.0,0.0
tool_call,3.98,2.88,-1.1,24.0,0.0
tool_call,3.55,2.57,-0.99,24.0,0.0
tool_call,4.66,3.38,-1.28,24.0,0.0
tool_call,4.08,2.95,-1.13,24.0,0.0
tool_call,5.36,3.9,-1.46,24.0,0.0
planning,4.28,3.15,-1.14,24.0,0.0
tool_call,5.62,4.45,-1.17,23.0,4.2
tool_call,3.96,2.87,-1.09,24.0,0.0
tool_call,6.68,4.87,-1.8,24.0,0.0
planning,5.89,4.77,-1.12,23.0,4.2
planning,4.92,4.36,-0.57,23.0,4.2
planning,6.44,4.72,-1.72,24.0,0.0
planning,5.16,3.78,-1.38,24.0,0.0
tool_call,7.62,5.56,-2.06,24.0,0.0
planning,4.48,3.82,-0.66,23.0,4.2
tool_call,3.45,2.49,-0.96,24.0,0.0
planning,5.24,4.47,-0.77,23.0,4.2
planning,4.07,3.38,-0.69,23.0,4.2
planning,4.44,3.41,-1.03,23.0,4.2
tool_call,3.95,2.86,-1.09,24.0,0.0
tool_call,5.8,4.21,-1.59,24.0,0.0
tool_call,3.8,3.11,-0.69,23.0,4.2
tool_call,3.8,2.74,-1.05,24.0,0.0
planning,7.0,5.15,-1.85,24.0,0.0
tool_call,5.53,4.03,-1.5,24.0,0.0
tool_call,5.1,3.7,-1.4,24.0,0.0
planning,4.5,3.65,-0.85,23.0,4.2
tool_call,4.52,3.28,-1.24,24.0,0.0
tool_call,7.11,5.18,-1.92,24.0,0.0
planning,4.39,3.23,-1.16,24.0,0.0
tool_call,3.7,2.68,-1.02,24.0,0.0
planning,4.59,3.92,-0.67,23.0,4.2
planning,4.98,4.19,-0.79,23.0,4.2
tool_call,4.62,3.35,-1.27,24.0,0.0
planning,5.06,3.71,-1.35,24.0,0.0
planning,4.13,3.95,-0.18,23.0,4.2
planning,4.96,4.4,-0.56,23.0,4.2
tool_call,8.5,6.22,-2.29,24.0,0.0
planning,4.61,3.81,-0.79,23.0,4.2
planning,5.67,4.16,-1.51,24.0,0.0
tool_call,4.37,3.33,-1.04,23.0,4.2
