step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,3.9457,51.71,14.92,37.84,,0.00019999,9.56
100,3.330999,27.97,16.1,32.92,,0.00019997,17.83
150,2.652095,14.18,19.84,17.34,,0.00019993,26.15
200,2.563436,12.98,19.1,20.42,,0.00019986,34.4
250,2.274676,9.72,19.26,19.75,,0.00019979,44.88
300,2.214854,9.16,19.1,20.42,,0.00019969,53.19
350,2.001547,7.4,21.04,12.34,,0.00019959,61.4
400,2.042998,7.71,20.68,13.83,,0.00019945,69.56
450,1.964887,7.13,21.74,9.41,,0.00019932,80.05
500,1.859439,6.42,21.36,11.0,,0.00019915,88.25
550,1.770863,5.88,22.4,6.67,,0.00019898,96.43
600,1.817357,6.16,21.34,11.09,,0.00019877,104.62
650,1.756041,5.79,20.92,12.83,,0.00019857,115.02
700,1.660385,5.26,22.0,8.33,,0.00019833,123.27
750,1.734697,5.67,20.94,12.74,,0.0001981,131.31
800,1.679989,5.37,22.06,8.08,,0.00019783,139.27
850,1.906123,6.73,20.18,15.92,,0.00019756,149.72
900,1.741048,5.7,21.42,10.75,,0.00019725,157.95
950,1.67148,5.32,22.22,7.42,,0.00019695,166.13
1000,1.779913,5.93,20.22,15.75,,0.00019661,174.33
1050,1.699174,5.47,21.46,10.58,,0.00019628,184.72
1100,2.098916,8.16,19.48,18.83,,0.0001959,192.68
1150,1.586195,4.89,21.3,11.25,,0.00019554,200.64
1200,1.643735,5.17,21.84,9.01,,0.00019513,208.98
1250,1.762756,5.83,19.88,17.17,,0.00019474,219.37
1300,1.55603,4.74,21.76,9.33,,0.00019429,227.58
1350,1.760896,5.82,20.22,15.75,,0.00019387,235.81
1400,1.580069,4.86,21.96,8.5,,0.00019339,244.08
1450,1.852951,6.38,19.7,17.91,,0.00019294,254.58
1500,1.605359,4.98,20.98,12.58,,0.00019243,262.88
1550,1.601603,4.96,20.94,12.74,,0.00019194,271.07
1600,1.672444,5.33,20.96,12.67,,0.0001914,279.32
1650,1.67195,5.32,20.78,13.42,,0.00019088,289.71
1700,1.62975,5.1,20.92,12.83,,0.00019031,297.95
1750,1.669944,5.31,20.84,13.17,,0.00018976,306.14
1800,1.664024,5.28,20.64,14.0,,0.00018916,314.33
1850,1.682959,5.38,20.38,15.09,,0.00018858,324.47
1900,1.647746,5.2,20.9,12.92,,0.00018794,332.45
1950,1.652921,5.22,21.02,12.41,,0.00018734,340.68
2000,1.619229,5.05,20.26,15.58,,0.00018667,348.91
2050,1.608083,4.99,20.98,12.59,,0.00018604,359.23
2100,1.646593,5.19,20.76,13.5,,0.00018534,367.43
2150,1.896623,6.66,19.58,18.42,,0.00018468,375.82
2200,1.537106,4.65,21.2,11.67,,0.00018395,384.14
2250,1.80245,6.06,18.84,21.49,,0.00018326,394.48
2300,1.629592,5.1,21.0,12.51,,0.0001825,402.6
2350,1.611324,5.01,20.46,14.74,,0.00018179,410.7
2400,1.574697,4.83,21.6,10.0,,0.000181,418.87
2450,1.622634,5.07,20.26,15.58,,0.00018026,429.22
2500,1.606311,4.98,21.7,9.59,,0.00017944,437.53
2550,1.679325,5.36,20.52,14.5,,0.00017867,445.58
2600,1.674279,5.33,20.08,16.33,,0.00017783,453.53
2650,1.544168,4.68,21.08,12.16,,0.00017703,463.56
2700,1.709738,5.53,19.4,19.16,,0.00017616,471.71
2750,1.515551,4.55,20.44,14.83,,0.00017534,479.88
2800,1.544554,4.69,21.36,11.0,,0.00017444,488.11
2850,1.683993,5.39,19.64,18.17,,0.0001736,498.48
2900,1.646799,5.19,21.54,10.25,,0.00017267,506.72
2950,1.668361,5.3,19.6,18.33,,0.00017181,514.93
3000,1.590047,4.9,19.78,17.58,,0.00017086,523.12
