step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
tool_call,5.34,4.24,-1.1,22.0,8.3
tool_call,3.67,2.76,-0.91,24.0,0.0
planning,5.41,4.06,-1.34,24.0,0.0
planning,4.53,3.4,-1.14,24.0,0.0
planning,4.44,3.33,-1.11,24.0,0.0
planning,4.47,3.36,-1.12,24.0,0.0
tool_call,4.94,3.72,-1.22,24.0,0.0
planning,5.22,3.93,-1.29,24.0,0.0
planning,7.25,5.45,-1.79,24.0,0.0
tool_call,5.56,4.19,-1.37,24.0,0.0
tool_call,8.71,6.58,-2.13,24.0,0.0
tool_call,4.07,3.07,-1.0,24.0,0.0
planning,4.86,3.67,-1.2,24.0,0.0
planning,5.02,3.77,-1.25,24.0,0.0
tool_call,3.57,2.69,-0.89,24.0,0.0
tool_call,4.12,3.11,-1.01,24.0,0.0
tool_call,3.86,2.91,-0.96,24.0,0.0
tool_call,4.66,3.51,-1.15,24.0,0.0
planning,5.75,4.33,-1.42,24.0,0.0
planning,5.34,4.01,-1.33,24.0,0.0
tool_call,7.68,5.8,-1.88,24.0,0.0
tool_call,7.19,5.42,-1.77,24.0,0.0
planning,4.81,4.01,-0.8,23.0,4.2
tool_call,4.79,3.61,-1.18,24.0,0.0
tool_call,3.75,2.82,-0.93,24.0,0.0
tool_call,4.07,3.07,-1.0,24.0,0.0
tool_call,4.55,3.43,-1.12,24.0,0.0
tool_call,3.48,2.62,-0.86,24.0,0.0
tool_call,3.97,2.99,-0.98,24.0,0.0
planning,5.28,3.96,-1.32,24.0,0.0
planning,4.86,3.65,-1.21,24.0,0.0
planning,4.44,3.34,-1.1,24.0,0.0
tool_call,3.81,2.87,-0.94,24.0,0.0
planning,6.22,4.67,-1.55,24.0,0.0
planning,5.98,4.49,-1.49,24.0,0.0
planning,4.71,3.54,-1.17,24.0,0.0
planning,5.82,4.36,-1.46,24.0,0.0
planning,4.77,3.57,-1.2,24.0,0.0
planning,5.6,4.21,-1.39,24.0,0.0
tool_call,6.1,4.6,-1.5,24.0,0.0
tool_call,5.75,4.34,-1.41,24.0,0.0
planning,4.64,3.49,-1.15,24.0,0.0
tool_call,5.64,4.25,-1.39,24.0,0.0
planning,6.2,4.66,-1.54,24.0,0.0
tool_call,3.99,3.01,-0.99,24.0,0.0
tool_call,6.91,5.22,-1.69,24.0,0.0
planning,4.39,3.31,-1.09,24.0,0.0
tool_call,4.47,3.37,-1.1,24.0,0.0
planning,4.64,3.49,-1.16,24.0,0.0
planning,4.48,3.76,-0.73,23.0,4.2
tool_call,6.05,4.56,-1.49,24.0,0.0
planning,4.31,3.23,-1.08,24.0,0.0
planning,5.47,4.11,-1.36,24.0,0.0
tool_call,5.43,4.09,-1.34,24.0,0.0
planning,4.46,3.35,-1.11,24.0,0.0
tool_call,4.19,3.16,-1.03,24.0,0.0
tool_call,4.28,3.23,-1.06,24.0,0.0
planning,5.43,4.08,-1.35,24.0,0.0
planning,4.18,3.15,-1.03,24.0,0.0
planning,5.28,3.97,-1.31,24.0,0.0
tool_call,4.71,3.55,-1.16,24.0,0.0
planning,5.28,3.96,-1.32,24.0,0.0
tool_call,6.78,5.12,-1.66,24.0,0.0
tool_call,4.14,3.12,-1.02,24.0,0.0
planning,5.71,4.29,-1.42,24.0,0.0
tool_call,4.46,3.36,-1.1,24.0,0.0
planning,4.16,3.13,-1.03,24.0,0.0
tool_call,4.1,3.09,-1.01,24.0,0.0
tool_call,4.85,3.65,-1.19,24.0,0.0
tool_call,3.44,2.72,-0.72,23.0,4.2
planning,4.85,3.63,-1.21,24.0,0.0
planning,4.15,3.12,-1.03,24.0,0.0
planning,4.46,3.34,-1.11,24.0,0.0
planning,6.62,5.3,-1.32,23.0,4.2
tool_call,5.82,4.39,-1.44,24.0,0.0
tool_call,7.22,5.44,-1.77,24.0,0.0
planning,5.6,4.21,-1.39,24.0,0.0
planning,3.85,2.89,-0.95,24.0,0.0
planning,4.37,3.29,-1.08,24.0,0.0
planning,4.02,3.02,-0.99,24.0,0.0
planning,5.38,4.04,-1.34,24.0,0.0
tool_call,4.04,3.04,-1.0,24.0,0.0
tool_call,4.03,3.04,-1.0,24.0,0.0
planning,4.62,3.47,-1.15,24.0,0.0
planning,4.98,3.73,-1.25,24.0,0.0
tool_call,4.11,3.1,-1.01,24.0,0.0
tool_call,5.45,4.11,-1.34,24.0,0.0
tool_call,4.09,3.08,-1.01,24.0,0.0
planning,4.59,4.02,-0.57,23.0,4.2
tool_call,4.19,3.15,-1.03,24.0,0.0
planning,6.65,4.99,-1.66,24.0,0.0
tool_call,4.46,3.35,-1.1,24.0,0.0
tool_call,4.19,3.16,-1.03,24.0,0.0
planning,4.29,3.24,-1.06,24.0,0.0
tool_call,4.03,3.04,-1.0,24.0,0.0
tool_call,5.69,4.29,-1.4,24.0,0.0
planning,5.3,4.32,-0.98,23.0,4.2
planning,4.12,3.09,-1.03,24.0,0.0
tool_call,4.62,3.48,-1.14,24.0,0.0
tool_call,4.34,3.27,-1.08,24.0,0.0
