query_id,step_type,routed_ms,routed_tokens,baseline_ms,baseline_tokens,routed_ms_per_tok,baseline_ms_per_tok
0,planning,3493.459130055271,96,2477.632530964911,77,36.390199271409074,32.17704585668716
1,tool_call,4628.817277960479,134,3451.626462978311,99,34.54341252209313,34.864913767457686
2,planning,6458.621241035871,216,2380.2027070196345,74,29.90102426405496,32.164901446211275
3,planning,6187.2767329914495,207,2214.5034909481183,70,29.890225763243716,31.635764156401688
4,tool_call,8624.03968302533,256,8864.497242961079,256,33.6876550118177,34.626942355316714
5,planning,6913.905085995793,256,3139.6462289849296,100,27.007441742171068,31.396462289849296
6,tool_call,1268.2493790052831,38,2279.0981619618833,66,33.37498365803376,34.531790332755804
7,tool_call,1210.867494926788,36,1270.2850949717686,36,33.63520819241077,35.28569708254913
8,tool_call,8017.689891043119,256,8725.90725403279,256,31.319101136887184,34.08557521106559
9,tool_call,1160.2909290231764,32,2133.673229953274,64,36.25909153197426,33.33864421801991
10,planning,3088.6675029760227,107,3198.2687269337475,106,28.866051429682454,30.172346480507052
11,planning,6960.986341931857,256,4934.378489037044,160,27.191352898171317,30.839865556481527
12,planning,6645.020132069476,256,2570.4908390762284,83,25.95710989089639,30.969769145496727
13,tool_call,4818.565630004741,147,4968.188688042574,147,32.77935802724314,33.79720195947329
14,planning,6644.630144932307,256,2549.2266319924966,82,25.955586503641825,31.08812965844508
15,planning,4485.061533981934,167,7942.409861949272,256,26.85665589210739,31.025038523239346
16,planning,2256.895367987454,76,7884.786156006157,256,29.695991684045445,30.799945921899052
17,tool_call,8061.859028995968,256,7422.064466984011,229,31.4916368320155,32.410761864559
18,planning,1297.9146569268778,44,1321.4427949860692,43,29.49806038470177,30.7312277903737
19,planning,6825.597658054903,256,2665.2100699720904,88,26.662490851776965,30.286478067864664
20,planning,5308.49638604559,188,3060.9561989549547,101,28.23668290449782,30.306497019355987
21,tool_call,1347.1998770255595,43,2402.8644260251895,73,31.330229698268827,32.91595104144095
22,tool_call,1692.1428409405053,54,1417.870622011833,44,31.335978535935283,32.22433231845075
23,planning,7342.558181029744,256,4293.776492937468,140,28.68186789464744,30.669832092410484
24,tool_call,1338.2251190487295,44,3072.929988033138,99,30.414207251107488,31.039696848819577
25,tool_call,7875.15579292085,256,8110.74245092459,256,30.76232731609707,31.68258769892418
26,planning,4776.983827003278,173,4109.4867220381275,134,27.612623277475596,30.667811358493488
27,tool_call,8396.190418978222,256,8678.21725900285,256,32.79761882413368,33.89928616797988
28,tool_call,6928.072407026775,223,8315.871114959009,256,31.067589269178363,32.48387154280863
29,tool_call,1370.1964230276644,42,2355.8611860498786,70,32.623724357801535,33.65515980071255
