layer,gate_value,status
0,0.724873,active
1,0.728033,active
2,0.730279,active
3,0.730151,active
4,0.727786,active
5,0.729877,active
6,0.731008,active
7,0.729593,active
8,0.272479,skip_candidate
9,0.272587,skip_candidate
10,0.272696,skip_candidate
11,0.272537,skip_candidate
12,0.272719,skip_candidate
13,0.272801,skip_candidate
14,0.272785,skip_candidate
15,0.272666,skip_candidate
16,0.272449,skip_candidate
17,0.728151,active
18,0.728364,active
19,0.72871,active
20,0.729247,active
21,0.729629,active
22,0.729558,active
23,0.729863,active
