step_type,loss_base,loss_lora,loss_delta
planning,1.9325,1.1605,-0.7721
tool_call,1.9956,0.9474,-1.0482
planning,2.1403,1.581,-0.5593
planning,2.1583,1.158,-1.0003
tool_call,2.1846,1.1261,-1.0585
planning,2.5464,1.257,-1.2894
planning,1.9716,1.1555,-0.8161
tool_call,2.794,1.2751,-1.5189
planning,1.9151,1.415,-0.5001
tool_call,2.1217,1.0946,-1.0272
planning,2.2592,1.3843,-0.8749
tool_call,2.153,1.1457,-1.0072
tool_call,3.0429,1.5214,-1.5215
tool_call,2.9341,1.4118,-1.5223
tool_call,2.661,1.0992,-1.5617
tool_call,3.0433,1.4748,-1.5684
tool_call,2.1136,1.1218,-0.9918
planning,2.6716,1.5626,-1.1089
planning,2.3684,1.3997,-0.9687
tool_call,3.0274,1.4708,-1.5566
