layer,gate_value,status
0,0.72482,active
1,0.728687,active
2,0.729971,active
3,0.730198,active
4,0.728219,active
5,0.730124,active
6,0.730315,active
7,0.729533,active
8,0.272151,skip_candidate
9,0.272578,skip_candidate
10,0.272615,skip_candidate
11,0.272654,skip_candidate
12,0.272795,skip_candidate
13,0.272724,skip_candidate
14,0.272478,skip_candidate
15,0.272616,skip_candidate
16,0.272405,skip_candidate
17,0.72798,active
18,0.72849,active
19,0.728859,active
20,0.729341,active
21,0.729667,active
22,0.729544,active
23,0.729791,active
