step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
planning,4.23,7.84,3.61,19.0,20.8
tool_call,3.43,2.58,-0.85,24.0,0.0
planning,6.47,4.86,-1.61,24.0,0.0
planning,4.23,3.18,-1.04,24.0,0.0
tool_call,4.1,3.08,-1.01,24.0,0.0
planning,4.68,3.52,-1.16,24.0,0.0
planning,4.21,3.18,-1.03,24.0,0.0
tool_call,4.75,3.58,-1.17,24.0,0.0
planning,5.47,4.12,-1.35,24.0,0.0
tool_call,3.97,2.99,-0.98,24.0,0.0
planning,5.3,3.99,-1.31,24.0,0.0
tool_call,4.18,3.14,-1.03,24.0,0.0
tool_call,6.08,4.58,-1.5,24.0,0.0
tool_call,5.45,4.1,-1.34,24.0,0.0
tool_call,3.99,3.0,-0.98,24.0,0.0
tool_call,5.8,4.37,-1.43,24.0,0.0
tool_call,4.08,3.07,-1.01,24.0,0.0
planning,5.64,4.77,-0.87,23.0,4.2
planning,5.38,4.05,-1.33,24.0,0.0
tool_call,5.78,4.35,-1.42,24.0,0.0
planning,4.61,3.47,-1.14,24.0,0.0
planning,6.55,5.65,-0.89,23.0,4.2
planning,4.61,3.46,-1.15,24.0,0.0
planning,4.28,3.22,-1.05,24.0,0.0
planning,5.75,4.33,-1.42,24.0,0.0
tool_call,4.28,3.23,-1.06,24.0,0.0
tool_call,5.2,3.91,-1.28,24.0,0.0
planning,4.96,3.73,-1.23,24.0,0.0
tool_call,4.28,3.22,-1.05,24.0,0.0
planning,5.62,4.23,-1.39,24.0,0.0
planning,5.8,4.37,-1.43,24.0,0.0
planning,5.43,4.09,-1.34,24.0,0.0
tool_call,4.39,3.31,-1.09,24.0,0.0
planning,5.43,4.5,-0.93,23.0,4.2
tool_call,5.67,4.27,-1.39,24.0,0.0
planning,4.52,3.4,-1.12,24.0,0.0
planning,5.69,4.27,-1.42,24.0,0.0
tool_call,4.83,3.63,-1.19,24.0,0.0
planning,5.14,3.86,-1.28,24.0,0.0
tool_call,6.86,5.17,-1.69,24.0,0.0
planning,4.52,3.4,-1.12,24.0,0.0
tool_call,6.81,5.14,-1.67,24.0,0.0
tool_call,4.22,3.18,-1.04,24.0,0.0
tool_call,4.07,3.07,-1.01,24.0,0.0
planning,4.46,3.36,-1.11,24.0,0.0
planning,5.36,4.03,-1.33,24.0,0.0
planning,4.79,3.61,-1.18,24.0,0.0
tool_call,7.22,5.44,-1.78,24.0,0.0
tool_call,8.98,6.78,-2.2,24.0,0.0
planning,5.28,3.98,-1.3,24.0,0.0
tool_call,5.14,3.88,-1.26,24.0,0.0
planning,5.32,4.0,-1.32,24.0,0.0
planning,5.38,4.05,-1.33,24.0,0.0
tool_call,3.77,2.84,-0.93,24.0,0.0
tool_call,4.33,3.25,-1.07,24.0,0.0
planning,4.73,3.56,-1.18,24.0,0.0
tool_call,4.34,3.26,-1.07,24.0,0.0
tool_call,4.16,3.13,-1.03,24.0,0.0
tool_call,7.39,5.57,-1.82,24.0,0.0
planning,6.94,5.22,-1.72,24.0,0.0
planning,4.85,3.65,-1.2,24.0,0.0
tool_call,4.06,3.06,-1.0,24.0,0.0
planning,4.46,3.35,-1.11,24.0,0.0
planning,4.59,3.46,-1.13,24.0,0.0
planning,4.48,3.37,-1.11,24.0,0.0
tool_call,7.93,5.98,-1.95,24.0,0.0
planning,5.94,4.46,-1.47,24.0,0.0
tool_call,4.13,3.11,-1.02,24.0,0.0
tool_call,4.94,3.72,-1.22,24.0,0.0
tool_call,3.85,2.9,-0.95,24.0,0.0
tool_call,5.67,4.26,-1.4,24.0,0.0
tool_call,3.98,3.0,-0.98,24.0,0.0
planning,4.66,3.5,-1.16,24.0,0.0
tool_call,3.67,2.76,-0.91,24.0,0.0
tool_call,4.52,3.4,-1.12,24.0,0.0
tool_call,5.58,4.2,-1.37,24.0,0.0
tool_call,4.02,3.02,-0.99,24.0,0.0
planning,4.79,3.6,-1.19,24.0,0.0
tool_call,6.1,4.6,-1.5,24.0,0.0
planning,4.16,3.13,-1.03,24.0,0.0
tool_call,3.45,2.6,-0.85,24.0,0.0
tool_call,5.71,4.3,-1.41,24.0,0.0
planning,4.08,3.07,-1.01,24.0,0.0
tool_call,5.32,4.01,-1.31,24.0,0.0
tool_call,4.48,3.38,-1.11,24.0,0.0
tool_call,3.47,2.61,-0.86,24.0,0.0
planning,5.71,4.3,-1.41,24.0,0.0
tool_call,4.19,3.15,-1.03,24.0,0.0
planning,3.97,2.99,-0.98,24.0,0.0
planning,4.86,3.65,-1.21,24.0,0.0
tool_call,4.23,3.19,-1.04,24.0,0.0
planning,7.13,5.37,-1.76,24.0,0.0
tool_call,3.97,2.99,-0.98,24.0,0.0
planning,4.83,3.65,-1.18,24.0,0.0
planning,4.41,3.31,-1.1,24.0,0.0
planning,4.19,3.16,-1.03,24.0,0.0
planning,5.38,4.04,-1.34,24.0,0.0
planning,5.49,4.13,-1.36,24.0,0.0
tool_call,4.62,3.48,-1.14,24.0,0.0
planning,4.66,3.5,-1.16,24.0,0.0
