step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
tool_call,4.85,3.16,-1.69,24.0,0.0
planning,4.11,3.1,-1.01,24.0,0.0
planning,4.52,3.4,-1.12,24.0,0.0
planning,3.91,2.93,-0.98,24.0,0.0
planning,4.04,3.04,-1.01,24.0,0.0
tool_call,4.14,3.11,-1.03,24.0,0.0
planning,4.79,3.61,-1.18,24.0,0.0
planning,4.83,3.63,-1.2,24.0,0.0
planning,3.89,2.93,-0.96,24.0,0.0
planning,4.53,3.43,-1.11,24.0,0.0
planning,5.69,4.29,-1.39,24.0,0.0
planning,4.5,3.37,-1.13,24.0,0.0
tool_call,3.99,3.0,-1.0,24.0,0.0
tool_call,6.13,4.61,-1.52,24.0,0.0
planning,4.55,3.43,-1.12,24.0,0.0
planning,4.75,3.58,-1.17,24.0,0.0
tool_call,4.1,3.09,-1.02,24.0,0.0
tool_call,3.99,3.0,-1.0,24.0,0.0
tool_call,7.3,5.5,-1.8,24.0,0.0
planning,4.64,3.48,-1.16,24.0,0.0
tool_call,3.47,2.61,-0.87,24.0,0.0
tool_call,4.02,3.01,-1.0,24.0,0.0
planning,4.42,3.33,-1.09,24.0,0.0
tool_call,4.83,3.63,-1.2,24.0,0.0
tool_call,4.71,3.55,-1.17,24.0,0.0
planning,4.85,3.65,-1.19,24.0,0.0
planning,4.52,3.39,-1.12,24.0,0.0
planning,4.02,3.02,-1.0,24.0,0.0
tool_call,3.83,2.88,-0.96,24.0,0.0
tool_call,6.73,5.07,-1.66,24.0,0.0
tool_call,4.09,3.07,-1.01,24.0,0.0
tool_call,7.87,5.92,-1.94,24.0,0.0
planning,3.55,2.68,-0.87,24.0,0.0
tool_call,6.83,5.14,-1.69,24.0,0.0
planning,3.88,2.91,-0.97,24.0,0.0
tool_call,6.01,4.52,-1.49,24.0,0.0
planning,4.22,3.16,-1.06,24.0,0.0
planning,3.89,2.94,-0.96,24.0,0.0
tool_call,7.22,5.43,-1.79,24.0,0.0
planning,3.44,2.59,-0.85,24.0,0.0
planning,3.86,2.9,-0.96,24.0,0.0
tool_call,4.09,3.07,-1.02,24.0,0.0
planning,3.7,2.79,-0.91,24.0,0.0
planning,4.55,3.42,-1.13,24.0,0.0
planning,4.73,3.55,-1.18,24.0,0.0
tool_call,4.12,3.37,-0.75,23.0,4.2
tool_call,3.7,2.78,-0.92,24.0,0.0
planning,3.77,2.83,-0.93,24.0,0.0
planning,4.81,3.62,-1.19,24.0,0.0
tool_call,3.64,2.74,-0.91,24.0,0.0
tool_call,4.62,3.47,-1.15,24.0,0.0
tool_call,3.91,2.94,-0.97,24.0,0.0
tool_call,4.61,3.46,-1.14,24.0,0.0
planning,4.59,3.46,-1.13,24.0,0.0
planning,3.91,2.94,-0.97,24.0,0.0
planning,4.79,3.6,-1.19,24.0,0.0
planning,3.56,2.67,-0.88,24.0,0.0
tool_call,4.02,3.02,-1.0,24.0,0.0
planning,4.23,3.17,-1.05,24.0,0.0
planning,4.47,3.36,-1.11,24.0,0.0
tool_call,5.75,4.33,-1.43,24.0,0.0
planning,3.91,2.95,-0.96,24.0,0.0
tool_call,5.47,4.11,-1.36,24.0,0.0
planning,3.72,2.79,-0.92,24.0,0.0
tool_call,4.83,3.63,-1.19,24.0,0.0
tool_call,3.48,2.82,-0.66,23.0,4.2
tool_call,5.58,4.2,-1.38,24.0,0.0
tool_call,5.32,4.0,-1.32,24.0,0.0
tool_call,4.48,3.54,-0.94,23.0,4.2
tool_call,4.4,3.73,-0.67,23.0,4.2
tool_call,3.99,2.99,-0.99,24.0,0.0
planning,4.26,3.2,-1.06,24.0,0.0
tool_call,5.34,4.02,-1.33,24.0,0.0
planning,5.6,4.2,-1.4,24.0,0.0
planning,3.83,2.89,-0.94,24.0,0.0
tool_call,5.71,4.29,-1.42,24.0,0.0
tool_call,5.64,4.24,-1.4,24.0,0.0
tool_call,5.78,4.95,-0.83,23.0,4.2
planning,3.72,2.8,-0.92,24.0,0.0
planning,4.68,3.52,-1.15,24.0,0.0
planning,3.78,2.84,-0.94,24.0,0.0
tool_call,4.57,3.43,-1.14,24.0,0.0
planning,5.36,4.04,-1.33,24.0,0.0
tool_call,3.81,2.86,-0.95,24.0,0.0
tool_call,4.29,3.43,-0.86,23.0,4.2
planning,3.99,3.01,-0.98,24.0,0.0
tool_call,4.22,3.17,-1.05,24.0,0.0
planning,4.41,3.31,-1.1,24.0,0.0
tool_call,4.2,3.16,-1.04,24.0,0.0
tool_call,8.64,6.52,-2.12,24.0,0.0
planning,4.14,3.12,-1.03,24.0,0.0
tool_call,3.98,2.99,-0.99,24.0,0.0
planning,4.19,3.14,-1.05,24.0,0.0
planning,4.59,3.46,-1.13,24.0,0.0
tool_call,3.44,2.58,-0.86,24.0,0.0
tool_call,3.99,3.0,-0.99,24.0,0.0
tool_call,4.34,3.26,-1.08,24.0,0.0
planning,4.24,3.19,-1.06,24.0,0.0
tool_call,4.1,3.08,-1.02,24.0,0.0
planning,4.0,3.0,-1.0,24.0,0.0
