step_type,loss_base,loss_lora,loss_delta
tool_call,2.7928,1.2921,-1.5008
planning,1.8468,1.1319,-0.7149
planning,2.3651,1.2226,-1.1425
planning,2.2947,1.0758,-1.219
planning,2.3031,1.1104,-1.1927
tool_call,2.6916,1.1343,-1.5574
planning,2.669,1.2834,-1.3856
planning,2.2704,1.2879,-0.9825
planning,2.2952,1.0748,-1.2204
planning,2.2812,1.2316,-1.0496
planning,2.4521,1.457,-0.9951
planning,2.0355,1.216,-0.8195
tool_call,2.1121,1.0976,-1.0146
tool_call,3.0427,1.5275,-1.5152
planning,2.2571,1.2323,-1.0249
planning,2.3339,1.2756,-1.0582
tool_call,2.7305,1.1268,-1.6036
tool_call,2.199,1.0981,-1.1009
tool_call,3.1829,1.7043,-1.4786
planning,2.3858,1.2472,-1.1386
