step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,3.982033,53.63,14.92,37.84,,0.00019999,9.36
100,3.493498,32.9,15.44,35.67,,0.00019997,17.68
150,2.757841,15.77,18.22,24.09,,0.00019993,25.88
200,2.516547,12.39,19.62,18.26,,0.00019986,33.91
250,2.320846,10.18,18.64,22.34,,0.00019979,44.35
300,2.3013,9.99,19.36,19.33,,0.00019969,52.74
350,1.958386,7.09,21.78,9.26,,0.00019959,61.12
400,1.896751,6.66,21.28,11.34,,0.00019945,69.3
450,1.89099,6.63,21.78,9.25,,0.00019932,79.81
500,1.820649,6.18,21.76,9.33,,0.00019915,87.93
550,1.767341,5.86,21.64,9.83,,0.00019898,96.16
600,1.764862,5.84,21.84,9.0,,0.00019877,104.52
650,1.732357,5.65,21.58,10.08,,0.00019857,115.05
700,1.740598,5.7,21.06,12.25,,0.00019833,123.28
750,1.793357,6.01,21.8,9.17,,0.0001981,131.53
800,1.670531,5.31,21.56,10.17,,0.00019783,139.75
850,1.847234,6.34,20.84,13.16,,0.00019756,150.25
900,1.657321,5.25,21.92,8.67,,0.00019725,158.49
950,1.74008,5.7,20.2,15.83,,0.00019695,166.86
1000,1.568754,4.8,22.24,7.34,,0.00019661,175.18
1050,1.836521,6.27,20.94,12.75,,0.00019628,185.82
1100,1.709963,5.53,20.34,15.26,,0.0001959,194.17
1150,1.647252,5.19,21.1,12.08,,0.00019554,202.48
1200,1.597199,4.94,22.04,8.17,,0.00019513,210.76
1250,1.659,5.25,21.14,11.91,,0.00019474,221.53
1300,1.759108,5.81,19.94,16.92,,0.00019429,229.88
1350,1.490757,4.44,22.68,5.51,,0.00019387,238.17
1400,1.694567,5.44,20.86,13.08,,0.00019339,246.44
1450,1.630554,5.11,20.94,12.74,,0.00019294,256.99
1500,1.644814,5.18,20.92,12.84,,0.00019243,265.15
1550,1.617522,5.04,20.98,12.58,,0.00019194,273.35
1600,1.689452,5.42,20.5,14.59,,0.0001914,281.66
1650,1.628611,5.1,21.68,9.66,,0.00019088,292.26
1700,1.731563,5.65,20.3,15.41,,0.00019031,300.63
1750,1.64896,5.2,20.52,14.49,,0.00018976,308.95
1800,1.56971,4.81,21.02,12.41,,0.00018916,317.25
1850,1.622951,5.07,20.48,14.67,,0.00018858,327.95
1900,1.60811,4.99,20.88,13.0,,0.00018794,336.31
1950,1.575523,4.83,21.24,11.5,,0.00018734,344.56
2000,1.664021,5.28,20.74,13.58,,0.00018667,352.9
2050,1.606447,4.99,21.32,11.17,,0.00018604,363.37
2100,1.652267,5.22,20.98,12.58,,0.00018534,371.66
2150,1.636097,5.14,20.32,15.33,,0.00018468,380.24
2200,1.635087,5.13,21.14,11.92,,0.00018395,388.58
2250,1.649832,5.21,20.62,14.09,,0.00018326,399.15
2300,1.584121,4.88,19.94,16.92,,0.0001825,407.45
2350,1.578539,4.85,21.46,10.59,,0.00018179,415.74
2400,1.599029,4.95,20.34,15.25,,0.000181,423.98
2450,1.657454,5.25,19.32,19.5,,0.00018026,434.38
2500,1.566006,4.79,21.7,9.58,,0.00017944,442.78
2550,1.641565,5.16,19.74,17.75,,0.00017867,451.06
2600,1.598637,4.95,20.14,16.08,,0.00017783,459.38
2650,1.613822,5.02,20.72,13.67,,0.00017703,469.95
2700,1.698959,5.47,19.8,17.5,,0.00017616,478.49
2750,1.750467,5.76,19.72,17.83,,0.00017534,486.84
2800,1.641396,5.16,21.4,10.83,,0.00017444,495.12
2850,1.747227,5.74,19.62,18.25,,0.0001736,505.84
2900,1.651215,5.21,20.34,15.25,,0.00017267,514.15
2950,1.786738,5.97,19.88,17.17,,0.00017181,522.41
3000,1.684498,5.39,20.1,16.24,,0.00017086,530.72
