step_type,loss_base,loss_lora,loss_delta
tool_call,2.1099,1.1002,-1.0098
planning,2.3653,1.3168,-1.0484
planning,1.8358,1.1813,-0.6544
planning,2.5383,1.354,-1.1843
tool_call,3.039,1.4597,-1.5793
tool_call,2.1408,1.0699,-1.0709
planning,2.3026,1.1839,-1.1187
planning,1.8284,1.0517,-0.7766
tool_call,3.0392,1.4836,-1.5556
tool_call,3.4004,1.8689,-1.5315
planning,2.2084,1.3453,-0.8631
planning,1.9277,1.308,-0.6197
tool_call,2.0785,1.0215,-1.057
tool_call,2.1801,1.1032,-1.0769
tool_call,2.0473,1.0464,-1.0009
planning,2.2805,1.3907,-0.8897
planning,1.93,1.114,-0.816
tool_call,2.234,1.1552,-1.0788
tool_call,2.047,1.0,-1.0471
planning,2.0546,1.2291,-0.8254
