query_id,step_type,routed_ms,routed_tokens,baseline_ms,baseline_tokens,routed_ms_per_tok,baseline_ms_per_tok
0,tool_call,2055.6827229447663,43,1591.7100859805942,43,47.80657495220387,37.01651362745568
1,planning,1162.2465180698782,35,4431.298409006558,141,33.207043373425094,31.427648290826657
2,planning,7540.7392320921645,256,3352.141484967433,105,29.456012625360017,31.925156999689836
3,tool_call,1474.024735041894,44,1425.787069951184,44,33.500562160043046,32.404251589799635
4,tool_call,1468.4914209647104,44,1396.7254370218143,44,33.37480502192523,31.74375993231396
5,tool_call,8713.090704986826,256,5014.892379986122,147,34.03551056635479,34.11491414956546
6,planning,6721.4766319375485,249,6170.1022839406505,198,26.99388205597409,31.162132747175004
7,planning,4053.597741993144,137,3335.6850249692798,109,29.588304686081344,30.602614907975045
8,planning,2516.6099399793893,88,2982.8454789239913,96,28.597840227038514,31.07130707212491
9,planning,1577.0683978917077,50,1829.4055929873139,59,31.541367957834154,31.0068744574121
10,tool_call,1277.8237769380212,38,1284.88523804117,38,33.62694149836898,33.81276942213605
11,tool_call,9216.620802995749,256,2090.396602987312,57,36.002425011702144,36.673624613812486
12,tool_call,1460.092917084694,44,1446.7804350424558,44,33.183929933743045,32.881373523692176
13,planning,3488.3414990035817,125,4984.750577015802,155,27.906731992028654,32.159681142037435
14,planning,552.2797530284151,20,4232.9055439913645,128,27.613987651420757,33.069574562432535
15,tool_call,8755.172037985176,256,2373.8621259108186,70,34.19989077337959,33.91231608444026
16,planning,1802.619812078774,60,2768.9992010127753,89,30.04366353464623,31.11235057317725
17,tool_call,1245.5694030504674,38,2196.1280211107805,64,32.77814218553861,34.314500329855946
18,tool_call,1418.4752169530839,44,1417.5472819479182,44,32.238073112570085,32.216983680634506
19,tool_call,1067.276167916134,32,1466.6605700040236,44,33.35238024737919,33.33319477281872
20,tool_call,1403.2701409887522,44,1385.6859930092469,44,31.892503204289824,31.492863477482885
21,planning,7099.313291953877,256,4529.537625960074,147,27.73169254669483,30.813181128980098
22,planning,641.1265139468014,25,3195.470015052706,104,25.645060557872057,30.725673221660635
23,planning,2486.303915036842,90,5317.311767023057,172,27.625599055964912,30.91460329664568
24,tool_call,8661.929924972355,256,8926.95693706628,256,33.83566376942326,34.870925535415154
25,planning,2967.950626043603,83,2602.4531569564715,83,35.75844127763377,31.354857312728573
26,planning,2190.9159990027547,83,2393.776078009978,79,26.39657830123801,30.300963012784532
27,planning,1402.5758779607713,46,1391.078631975688,46,30.49077995566894,30.240839825558435
28,tool_call,1354.4703848892823,44,1366.2091960432008,44,30.78341783839278,31.050209000981837
29,tool_call,1408.038733061403,44,1404.4467380736023,44,32.00088029685007,31.919244047127325
