step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
tool_call,4.02,2.61,-1.41,24.0,0.0
planning,4.98,3.73,-1.25,24.0,0.0
planning,4.34,3.26,-1.08,24.0,0.0
planning,5.16,3.87,-1.29,24.0,0.0
tool_call,5.75,4.3,-1.45,24.0,0.0
tool_call,3.9,2.92,-0.99,24.0,0.0
planning,4.37,3.27,-1.1,24.0,0.0
planning,3.82,2.86,-0.96,24.0,0.0
tool_call,5.89,4.41,-1.48,24.0,0.0
tool_call,8.64,6.48,-2.16,24.0,0.0
planning,5.12,3.84,-1.28,24.0,0.0
planning,4.94,3.7,-1.24,24.0,0.0
tool_call,3.72,2.78,-0.94,24.0,0.0
tool_call,4.03,3.01,-1.02,24.0,0.0
tool_call,3.81,2.85,-0.96,24.0,0.0
planning,5.34,4.02,-1.32,24.0,0.0
planning,4.06,3.05,-1.01,24.0,0.0
tool_call,4.25,3.17,-1.08,24.0,0.0
tool_call,3.64,2.72,-0.92,24.0,0.0
planning,4.57,3.42,-1.15,24.0,0.0
planning,4.24,3.19,-1.06,24.0,0.0
planning,5.36,4.02,-1.34,24.0,0.0
tool_call,4.07,3.05,-1.03,24.0,0.0
planning,4.71,3.53,-1.18,24.0,0.0
planning,4.06,3.04,-1.01,24.0,0.0
planning,4.14,3.09,-1.04,24.0,0.0
planning,5.91,4.44,-1.48,24.0,0.0
tool_call,4.46,3.34,-1.13,24.0,0.0
tool_call,3.93,2.94,-0.99,24.0,0.0
planning,4.1,3.08,-1.02,24.0,0.0
planning,5.1,3.82,-1.28,24.0,0.0
planning,4.28,3.21,-1.07,24.0,0.0
planning,4.02,3.01,-1.0,24.0,0.0
tool_call,4.11,3.08,-1.03,24.0,0.0
planning,4.23,3.16,-1.06,24.0,0.0
tool_call,4.12,3.08,-1.04,24.0,0.0
planning,5.3,3.97,-1.33,24.0,0.0
tool_call,5.67,4.24,-1.43,24.0,0.0
tool_call,4.07,3.05,-1.03,24.0,0.0
planning,4.64,3.47,-1.17,24.0,0.0
planning,5.26,3.94,-1.32,24.0,0.0
tool_call,3.44,2.81,-0.63,23.0,4.2
tool_call,3.46,2.59,-0.88,24.0,0.0
tool_call,4.55,3.41,-1.15,24.0,0.0
tool_call,4.28,3.2,-1.08,24.0,0.0
planning,6.08,4.55,-1.53,24.0,0.0
planning,6.25,4.68,-1.57,24.0,0.0
planning,5.47,4.08,-1.39,24.0,0.0
tool_call,4.94,3.7,-1.25,24.0,0.0
planning,5.53,4.14,-1.39,24.0,0.0
tool_call,7.11,5.32,-1.78,24.0,0.0
tool_call,5.32,3.98,-1.34,24.0,0.0
tool_call,4.53,3.39,-1.14,24.0,0.0
planning,5.51,4.14,-1.37,24.0,0.0
planning,4.57,3.42,-1.15,24.0,0.0
planning,5.2,3.9,-1.3,24.0,0.0
tool_call,3.97,2.97,-1.0,24.0,0.0
planning,6.34,4.76,-1.59,24.0,0.0
tool_call,4.68,3.5,-1.18,24.0,0.0
tool_call,6.73,5.04,-1.68,24.0,0.0
tool_call,7.22,5.41,-1.81,24.0,0.0
tool_call,4.39,3.28,-1.11,24.0,0.0
tool_call,4.08,3.05,-1.03,24.0,0.0
tool_call,5.36,4.01,-1.35,24.0,0.0
tool_call,4.66,3.49,-1.17,24.0,0.0
tool_call,4.05,3.03,-1.02,24.0,0.0
tool_call,5.36,4.02,-1.35,24.0,0.0
planning,4.5,3.37,-1.13,24.0,0.0
tool_call,4.96,3.72,-1.24,24.0,0.0
tool_call,5.6,4.19,-1.4,24.0,0.0
planning,4.13,3.11,-1.02,24.0,0.0
tool_call,4.03,3.02,-1.02,24.0,0.0
planning,4.98,3.73,-1.24,24.0,0.0
tool_call,4.11,3.08,-1.04,24.0,0.0
planning,5.12,3.84,-1.28,24.0,0.0
tool_call,3.53,2.64,-0.89,24.0,0.0
tool_call,4.39,3.28,-1.11,24.0,0.0
planning,5.38,4.04,-1.35,24.0,0.0
planning,4.34,3.25,-1.09,24.0,0.0
tool_call,7.56,5.67,-1.89,24.0,0.0
planning,4.9,3.67,-1.23,24.0,0.0
tool_call,5.64,4.23,-1.41,24.0,0.0
planning,4.66,3.51,-1.15,24.0,0.0
tool_call,4.24,3.17,-1.07,24.0,0.0
planning,5.16,3.85,-1.3,24.0,0.0
planning,4.44,3.33,-1.11,24.0,0.0
tool_call,5.6,4.19,-1.41,24.0,0.0
tool_call,4.14,3.1,-1.04,24.0,0.0
tool_call,4.68,3.5,-1.18,24.0,0.0
planning,4.39,3.29,-1.1,24.0,0.0
tool_call,6.03,4.51,-1.52,24.0,0.0
planning,4.45,3.32,-1.12,24.0,0.0
planning,5.26,3.95,-1.31,24.0,0.0
planning,7.02,5.28,-1.75,24.0,0.0
tool_call,6.65,4.99,-1.66,24.0,0.0
planning,4.48,3.35,-1.13,24.0,0.0
planning,4.46,3.33,-1.13,24.0,0.0
planning,4.75,3.56,-1.19,24.0,0.0
tool_call,3.99,2.99,-1.01,24.0,0.0
planning,4.75,3.56,-1.2,24.0,0.0
