step_type,loss_base,loss_lora,loss_delta
planning,1.9573,1.3874,-0.5699
planning,2.1747,1.3579,-0.8168
tool_call,2.6945,1.325,-1.3695
tool_call,2.1231,1.1181,-1.0049
planning,1.9146,1.3118,-0.6028
planning,2.7139,1.4694,-1.2445
tool_call,2.1388,1.1386,-1.0002
planning,2.7937,1.4528,-1.341
tool_call,2.9628,1.4194,-1.5434
planning,2.1195,1.4345,-0.685
planning,2.2183,1.5799,-0.6385
tool_call,2.6946,1.1596,-1.535
planning,2.5288,1.4432,-1.0857
tool_call,3.0233,1.5544,-1.4688
planning,2.0644,1.2217,-0.8427
tool_call,2.0287,1.0145,-1.0141
planning,2.1963,1.4407,-0.7556
planning,2.276,1.4386,-0.8374
tool_call,3.0072,1.4072,-1.6
planning,1.9002,1.594,-0.3062
