step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
planning,4.13,3.49,-0.64,23.0,4.2
planning,5.28,3.89,-1.39,24.0,0.0
tool_call,4.37,3.76,-0.61,23.0,4.2
tool_call,3.81,3.06,-0.75,23.0,4.2
planning,5.06,3.71,-1.35,24.0,0.0
planning,4.88,4.35,-0.54,23.0,4.2
tool_call,4.02,3.12,-0.9,23.0,4.2
planning,4.73,4.27,-0.46,23.0,4.2
tool_call,5.64,4.13,-1.51,24.0,0.0
planning,5.69,4.2,-1.49,24.0,0.0
planning,5.47,4.85,-0.62,23.0,4.2
tool_call,4.05,3.19,-0.86,23.0,4.2
planning,4.71,4.23,-0.48,23.0,4.2
tool_call,5.71,4.73,-0.98,23.0,4.2
planning,4.62,3.39,-1.23,24.0,0.0
tool_call,3.59,2.76,-0.83,23.0,4.2
planning,5.73,4.22,-1.51,24.0,0.0
planning,5.73,4.21,-1.52,24.0,0.0
tool_call,5.6,4.08,-1.51,24.0,0.0
planning,5.45,4.92,-0.52,23.0,4.2
tool_call,4.07,2.97,-1.1,24.0,0.0
tool_call,4.21,3.4,-0.81,23.0,4.2
planning,5.28,3.87,-1.41,24.0,0.0
tool_call,4.42,3.44,-0.99,23.0,4.2
tool_call,4.62,3.59,-1.03,23.0,4.2
planning,4.7,3.46,-1.24,24.0,0.0
tool_call,3.95,3.08,-0.87,23.0,4.2
tool_call,4.57,3.33,-1.24,24.0,0.0
tool_call,4.17,3.27,-0.9,23.0,4.2
planning,5.64,4.67,-0.97,23.0,4.2
planning,4.24,4.18,-0.06,23.0,4.2
tool_call,7.56,5.54,-2.02,24.0,0.0
tool_call,4.02,2.93,-1.09,24.0,0.0
tool_call,6.7,4.91,-1.79,24.0,0.0
tool_call,3.99,2.91,-1.09,24.0,0.0
tool_call,4.16,3.17,-0.99,23.0,4.2
planning,4.27,3.14,-1.12,24.0,0.0
planning,5.08,4.29,-0.79,23.0,4.2
planning,4.57,3.99,-0.58,23.0,4.2
planning,5.0,3.67,-1.33,24.0,0.0
tool_call,3.5,2.7,-0.8,23.0,4.2
planning,5.94,4.38,-1.55,24.0,0.0
tool_call,4.0,3.16,-0.84,23.0,4.2
tool_call,4.9,4.05,-0.85,23.0,4.2
planning,3.96,2.91,-1.05,24.0,0.0
planning,6.25,4.6,-1.64,24.0,0.0
tool_call,3.48,2.71,-0.78,23.0,4.2
planning,5.32,3.91,-1.41,24.0,0.0
tool_call,3.82,2.88,-0.94,23.0,4.2
tool_call,5.1,4.15,-0.94,23.0,4.2
tool_call,5.89,4.3,-1.59,24.0,0.0
planning,3.95,2.91,-1.04,24.0,0.0
planning,4.43,3.27,-1.16,24.0,0.0
tool_call,7.0,5.12,-1.87,24.0,0.0
tool_call,4.94,3.61,-1.33,24.0,0.0
tool_call,8.44,6.19,-2.25,24.0,0.0
planning,4.31,4.07,-0.24,23.0,4.2
planning,4.57,3.36,-1.21,24.0,0.0
planning,6.47,4.75,-1.72,24.0,0.0
tool_call,4.28,3.28,-1.0,23.0,4.2
planning,5.16,3.8,-1.36,24.0,0.0
tool_call,6.57,4.82,-1.75,24.0,0.0
planning,5.3,3.9,-1.4,24.0,0.0
tool_call,5.53,4.05,-1.49,24.0,0.0
tool_call,3.44,2.69,-0.75,23.0,4.2
planning,4.94,3.62,-1.32,24.0,0.0
planning,5.58,4.11,-1.47,24.0,0.0
planning,4.5,3.31,-1.19,24.0,0.0
planning,4.5,3.3,-1.19,24.0,0.0
tool_call,4.02,2.93,-1.09,24.0,0.0
tool_call,3.96,3.06,-0.9,23.0,4.2
planning,4.41,3.96,-0.46,23.0,4.2
planning,4.71,4.04,-0.67,23.0,4.2
tool_call,5.58,4.08,-1.5,24.0,0.0
planning,4.57,4.25,-0.32,23.0,4.2
tool_call,5.32,3.89,-1.43,24.0,0.0
planning,4.1,3.02,-1.08,24.0,0.0
tool_call,4.5,3.67,-0.83,23.0,4.2
planning,6.3,5.94,-0.35,23.0,4.2
planning,4.34,3.93,-0.4,23.0,4.2
planning,5.12,3.78,-1.34,24.0,0.0
planning,5.45,4.01,-1.44,24.0,0.0
planning,7.39,5.45,-1.94,24.0,0.0
tool_call,4.64,3.39,-1.26,24.0,0.0
planning,4.66,3.86,-0.8,23.0,4.2
tool_call,4.46,3.43,-1.04,23.0,4.2
tool_call,7.02,5.14,-1.88,24.0,0.0
tool_call,3.97,3.07,-0.9,23.0,4.2
tool_call,5.87,4.29,-1.58,24.0,0.0
tool_call,4.05,3.14,-0.91,23.0,4.2
tool_call,4.55,3.32,-1.23,24.0,0.0
planning,5.89,4.34,-1.56,24.0,0.0
planning,5.69,5.49,-0.2,23.0,4.2
tool_call,5.36,3.92,-1.44,24.0,0.0
planning,7.16,5.27,-1.89,24.0,0.0
tool_call,4.05,2.95,-1.09,24.0,0.0
tool_call,4.1,3.25,-0.85,23.0,4.2
tool_call,3.74,3.03,-0.71,23.0,4.2
planning,4.7,3.45,-1.24,24.0,0.0
planning,5.36,3.95,-1.42,24.0,0.0
