query_id,step_type,routed_ms,routed_tokens,baseline_ms,baseline_tokens,routed_ms_per_tok,baseline_ms_per_tok
0,planning,5989.020140958019,150,4618.930137017742,150,39.926800939720124,30.79286758011828
1,tool_call,2392.205010051839,77,4644.960565958172,145,31.067597533140766,32.03421079971153
2,tool_call,2720.496813999489,83,2144.974290044047,64,32.777070048186616,33.51522328193823
3,tool_call,5176.4867609599605,172,2147.9707079706714,68,30.09585326139512,31.58780452898046
4,planning,2343.825236079283,80,1813.1368880858645,59,29.29781545099104,30.731133696370584
5,planning,3179.308076039888,104,3172.7073750225827,104,30.570269961922,30.506801682909447
6,tool_call,1337.0634580496699,47,1216.7819540482014,39,28.44815868190787,31.199537283287217
7,planning,7582.823573960923,256,3587.3247570125386,116,29.620404585784854,30.925213422521885
8,planning,6979.198383050971,256,3964.8185439873487,128,27.262493683792854,30.97514487490116
9,planning,1994.9473750311881,68,2265.5173209495842,74,29.337461397517473,30.615098931751138
10,tool_call,3522.5113249616697,110,8745.353628997691,256,32.02283022692427,34.16153761327223
11,planning,3525.3539570840076,121,3393.399912980385,111,29.135156670115766,30.571170387210678
12,tool_call,2127.0492379553616,66,2224.55370798707,66,32.22801875689942,33.705359211925305
13,tool_call,2312.454057042487,70,2387.513197027147,70,33.035057957749814,34.107331386102096
14,tool_call,5507.425718009472,169,5229.4576650019735,153,32.58831785804421,34.179461862758
15,planning,2703.3543369034305,93,1425.2247160766274,47,29.068326203262693,30.323930129289945
16,planning,4387.27435504552,144,4295.307173975743,141,30.46718302114944,30.463171446636476
17,planning,7659.892932977527,256,4327.4332280270755,119,29.921456769443466,36.36498510947122
18,tool_call,455.72526403702796,17,5359.173770993948,162,26.80736847276635,33.08131957403672
19,tool_call,1330.624595982954,42,2797.2606499679387,78,31.68153799959414,35.86231602522998
20,planning,2252.6599699631333,66,3409.320045961067,107,34.13121166610808,31.86280416786044
21,planning,4556.053029024042,137,4957.748952903785,153,33.255861525722935,32.40358792747572
22,planning,3401.4213000191376,110,3442.291817977093,110,30.922011818355795,31.293561981609937
23,tool_call,1540.9302900079638,58,8402.403746033087,256,26.567763620826963,32.82188963294175
24,planning,4273.1942110694945,137,4625.146217993461,146,31.191198620945215,31.679083684886717
25,tool_call,8232.419759966433,256,8416.403712937608,256,32.15788968736888,32.87657700366253
26,tool_call,2297.5533130811527,72,2187.949863029644,64,31.910462681682677,34.186716609838186
27,tool_call,3171.834535081871,110,3430.069438996725,101,28.83485940983519,33.96108355442302
28,tool_call,4179.206056986004,126,6095.386711065657,175,33.16830203957146,34.83078120608947
29,planning,4558.71350702364,151,4412.1239529922605,141,30.190155675653244,31.291659241079863
