layer,gate_value,status
0,0.718222,active
1,0.725096,active
2,0.728749,active
3,0.726107,active
4,0.726156,active
5,0.727905,active
6,0.729023,active
7,0.727962,active
8,0.272966,skip_candidate
9,0.273143,skip_candidate
10,0.273282,skip_candidate
11,0.273537,skip_candidate
12,0.273436,skip_candidate
13,0.273353,skip_candidate
14,0.273249,skip_candidate
15,0.273224,skip_candidate
16,0.272984,skip_candidate
17,0.727348,active
18,0.727688,active
19,0.728277,active
20,0.728819,active
21,0.729225,active
22,0.728983,active
23,0.729368,active
